pathway	pathname	path_genes	up_p	up_cor	up_max_stat	path_genes_up	genes_up	down_p	down_cor	down_max_stat	path_genes_down	genes_down
eco00561	Glycerolipid metabolism - Escherichia coli K-12 MG1655	2	0	-0.633668682728095	0	0	0	1.0644089261058	0.262879089334565	-0.028058	2	37
eco00740	Riboflavin metabolism - Escherichia coli K-12 MG1655	6	0	-0.886512424536739	0	1	168	0.992169508168528	-0.718741994212149	-0.00259300000000001	5	101
eco01502	Vancomycin resistance - Escherichia coli K-12 MG1655	3	0	-0.824881923281655	0	0	0	0.97688097483121	-0.485732663126229	-0.00259300000000001	3	83
eco03070	Bacterial secretion system - Escherichia coli K-12 MG1655	8	0.331519380251098	-0.217667297144637	0	6	156	0.879763488734916	-0.0476929773379826	-0.03538	2	11
eco02010	ABC transporters - Escherichia coli K-12 MG1655	7	0.295292248761822	0.481721961241235	0	2	40	0.870181561549075	0.472924124438642	-0.00322	4	60
eco01130	Biosynthesis of antibiotics - Escherichia coli K-12 MG1655	27	0.295292248761822	-0.573754913101863	0	1	3	0.828150479705617	-0.590752070068103	-0.00192300000000001	15	111
eco00270	Cysteine and methionine metabolism - Escherichia coli K-12 MG1655	2	0	-0.77357766664285	0	0	0	0.82500442045087	-0.146656284952452	-0.00322	2	61
eco00471	D-Glutamine and D-glutamate metabolism - Escherichia coli K-12 MG1655	3	0	-0.883095691822467	0	0	0	0.809948788879781	-0.631655171641287	-0.00259300000000001	3	106
eco03060	Protein export - Escherichia coli K-12 MG1655	10	0.525708689548117	0.191633968441467	0	1	2	0.809948788879781	0.0516407114688949	-0.03538	2	11
eco00760	Nicotinate and nicotinamide metabolism - Escherichia coli K-12 MG1655	3	0	-0.930468584400399	0	0	0	0.802309645027818	-0.510100322186392	-0.00259300000000001	3	110
eco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Escherichia coli K-12 MG1655	5	0	-0.956277112503125	0	0	0	0.779128279079764	-0.374600705703863	-0.00259300000000001	4	105
eco00030	Pentose phosphate pathway - Escherichia coli K-12 MG1655	2	0.772272643601795	0.53493805622873	0	1	3	0	-0.780956544082207	0	0	0
eco00230	Purine metabolism - Escherichia coli K-12 MG1655	17	0.772272643601795	0.272815616824178	0	4	19	0.163361422071179	-0.0321658925807489	-0.03538	1	8
eco00670	One carbon pool by folate - Escherichia coli K-12 MG1655	5	0.772272643601795	0.139029913488054	0	2	14	0.0120494350383158	-0.710998185150908	-0.00259300000000001	2	107
eco01120	Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655	17	0.525708689548117	-0.220096044888274	0	3	16	0.706460549659837	-0.364550590802186	-0.003635	6	54
eco01230	Biosynthesis of amino acids - Escherichia coli K-12 MG1655	12	0.448497987881816	-0.24218992398455	0	1	3	0.671885356712989	-0.410095019811692	-0.00322	5	61
eco00620	Pyruvate metabolism - Escherichia coli K-12 MG1655	5	0	-0.64979238647681	0	2	148	0.589275407070551	-0.297836429891665	-0.00259300000000001	3	74
eco00640	Propanoate metabolism - Escherichia coli K-12 MG1655	5	0	-0.64979238647681	0	2	148	0.589275407070551	-0.297836429891665	-0.00259300000000001	3	74
eco00250	Alanine, aspartate and glutamate metabolism - Escherichia coli K-12 MG1655	2	0	-0.842739149643114	0	0	0	0.587846968928863	-0.610039133686198	-0.00259300000000001	2	97
eco01501	beta-Lactam resistance - Escherichia coli K-12 MG1655	2	0	-0.846232707027498	0	0	0	0.54225933878746	-0.693729048068549	-0.00259300000000001	2	104
eco00010	Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655	5	0.525708689548117	-0.613106690803975	0	5	170	0	-0.81284289785243	0	0	0
eco00450	Selenocompound metabolism - Escherichia coli K-12 MG1655	1	0.525708689548117	0.771863773393704	0	1	13	0	-0.161419846029261	0	0	0
eco00521	Streptomycin biosynthesis - Escherichia coli K-12 MG1655	1	0.525708689548117	0.680021774998575	0	1	23	0	-0.222412071314335	0	0	0
eco00562	Inositol phosphate metabolism - Escherichia coli K-12 MG1655	1	0.525708689548117	0.680021774998575	0	1	23	0	-0.222412071314335	0	0	0
eco00780	Biotin metabolism - Escherichia coli K-12 MG1655	5	0.525708689548117	0.57265752647448	0	3	67	0	-0.267848646262606	-0.00322	1	56
eco01503	Cationic antimicrobial peptide (CAMP) resistance - Escherichia coli K-12 MG1655	1	0.525708689548117	0.689200399296125	0	1	22	0	-0.216917598272312	0	0	0
eco02024	Quorum sensing - Escherichia coli K-12 MG1655	9	0.525708689548117	-0.356666263724498	0	8	168	0	-0.838092284232527	-0.00259300000000001	1	99
eco03018	RNA degradation - Escherichia coli K-12 MG1655	4	0.525708689548117	-0.065082311810933	0	4	142	0	-0.702730739006502	0	0	0
eco00260	Glycine, serine and threonine metabolism - Escherichia coli K-12 MG1655	4	0.0177373372305338	-0.481607503165986	0	2	145	0.520388968653234	-0.149674939652726	-0.00565400000000002	2	50
eco00240	Pyrimidine metabolism - Escherichia coli K-12 MG1655	18	0.452012320097847	-0.240447102256021	0	3	19	0.155204686148049	-0.49087577352704	-0.03538	1	8
eco01200	Carbon metabolism - Escherichia coli K-12 MG1655	12	0.452012320097847	-0.307701753027707	0	2	14	0.0237822575652427	-0.574569124345748	-0.028058	2	44
eco01040	Biosynthesis of unsaturated fatty acids - Escherichia coli K-12 MG1655	1	0.448497987881816	0.579141417262633	0	1	34	0	-0.277741100025472	0	0	0
eco01210	2-Oxocarboxylic acid metabolism - Escherichia coli K-12 MG1655	1	0	-0.715683511236155	0	0	0	0.438230605404803	-0.0882072748336826	-0.00565400000000002	1	50
eco00061	Fatty acid biosynthesis - Escherichia coli K-12 MG1655	11	0.298352614128132	0.348608743753446	0	4	67	0.361753017747965	0.177159713337358	-0.028058	3	44
eco01212	Fatty acid metabolism - Escherichia coli K-12 MG1655	11	0.298352614128132	0.348608743753446	0	4	67	0.361753017747965	0.177159713337358	-0.028058	3	44
eco00190	Oxidative phosphorylation - Escherichia coli K-12 MG1655	1	0.331519380251098	0.405146596672	0	1	53	0	-0.360739686616454	0	0	0
eco00680	Methane metabolism - Escherichia coli K-12 MG1655	3	0.331519380251098	-0.532107214744011	0	3	162	0	-0.780956544082207	0	0	0
eco03410	Base excision repair - Escherichia coli K-12 MG1655	2	0.331519380251098	0.446333545255087	0	1	29	0	-0.671952730424602	0	0	0
eco03420	Nucleotide excision repair - Escherichia coli K-12 MG1655	2	0.331519380251098	0.446333545255087	0	1	29	0	-0.671952730424602	0	0	0
eco03020	RNA polymerase - Escherichia coli K-12 MG1655	3	0.320314455455655	-0.534077835760846	0	3	172	0	-0.820872738427974	0	0	0
eco00630	Glyoxylate and dicarboxylate metabolism - Escherichia coli K-12 MG1655	2	0.295292248761822	-0.371992800299331	0	2	145	0	-0.714341382297131	0	0	0
eco00520	Amino sugar and nucleotide sugar metabolism - Escherichia coli K-12 MG1655	5	0	-0.794540843023445	0	2	152	0.291638430189301	-0.800325908553374	-0.00259300000000001	3	109
eco04122	Sulfur relay system - Escherichia coli K-12 MG1655	2	0.230264963246938	-0.607904886904028	0	2	161	0	-0.776996227483999	0	0	0
eco00730	Thiamine metabolism - Escherichia coli K-12 MG1655	3	0.147388699861167	-0.0503270166050515	0	1	44	0.0237822575652427	-0.53696201781765	-0.00322	1	72
eco00020	Citrate cycle (TCA cycle) - Escherichia coli K-12 MG1655	1	0.128289004131279	-0.278915231722046	0	1	126	0	-0.641407537541064	0	0	0
eco00280	Valine, leucine and isoleucine degradation - Escherichia coli K-12 MG1655	1	0.128289004131279	-0.278915231722046	0	1	126	0	-0.641407537541064	0	0	0
eco02020	Two-component system - Escherichia coli K-12 MG1655	1	0.128289004131279	-0.36895680463292	0	1	135	0	-0.675786229658891	0	0	0
eco00460	Cyanoamino acid metabolism - Escherichia coli K-12 MG1655	1	0.107720204069475	-0.472071773523916	0	1	145	0	-0.714341382297131	0	0	0
eco00051	Fructose and mannose metabolism - Escherichia coli K-12 MG1655	1	0.0895364151392621	-0.657330881124151	0	1	162	0	-0.780956544082207	0	0	0
eco00785	Lipoic acid metabolism - Escherichia coli K-12 MG1655	1	0.0756006371959694	-0.76217883620719	0	1	171	0	-0.816854843052368	0	0	0
