WORD	Intersection	Not
-methyltransferase	14	0
ribd	14	0
msba	14	0
uridylate	14	0
n-terminal	13	8
involved	13	4
secd	13	0
threonyl-trna	13	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	13	0
protein-export	13	0
groes	13	0
-lysidine	13	0
transmembrane	12	13
lipopolysaccharide	12	9
bacterial	12	4
glycoprotease	12	3
sigma-70	12	2
dnaa	12	0
n-acetylglucosamine	12	0
partition	12	0
glycyl-trna	12	0
secy	12	0
octaprenyl-diphosphate	12	0
phosphoglucosamine	12	0
nusg	12	0
carboxyltransferase	12	0
mutase	12	0
inner	12	0
phosphopantothenoylcysteine	12	0
penicillin-binding	11	18
assembly	11	12
peptidoglycan	11	7
proenzyme	11	0
3-octaprenyl-4-hydroxybenzoate	11	0
udp-n-acetylmuramate	11	0
pyrophosphorylase	10	0
pyrophosphoryl-undecaprenol	10	0
ribf	10	0
ftsy	10	0
if-2	10	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	10	0
1-deoxyxylulose-5-phosphate	10	0
1-deoxy-d-xylulose-5-phosphate	10	0
methyltransferase	9	22
chaperonin	9	13
sigma	9	7
uncharacterized	9	6
complex	9	5
cycle	9	4
diphosphate	9	4
possible	9	2
guanine-n1	9	0
udp-n-acetylglucosamine--n-acetylmuramyl-	9	0
glucosamine-1-phosphate	9	0
alanine	9	0
inorganic	8	21
type	8	6
ftsi	8	2
atp-nad	8	0
lole	8	0
acyl-carrier	8	0
1-acyl-sn-glycerol-3-phosphate	8	0
glycine--trna	8	0
phenylalanine--trna	8	0
carboxy-lyase	8	0
core	8	0
1-acyl-glycerol-3-phosphate	8	0
polyphosphate	8	0
killing	8	0
kicb	8	0
includes	7	11
atpase	7	4
subunits	7	1
metabolism	7	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine	7	0
udp-n-acetylmuramate--l-alanine	7	0
6-diaminopimelate	7	0
udp-n-acetylmuramoylalanyl-d-glutamyl-2	7	0
mesj	7	0
mukb	7	0
dnac	7	0
rpod	7	0
folylpolyglutamate	6	15
lipoprotein-releasing	6	10
integral	6	7
middle	6	3
o-sialoglycoprotein	6	1
endopeptidase	6	1
pentapeptide	6	0
cgta	6	0
nopimelate--d-alan	6	0
partitioning	6	0
acetyl	6	0
insertase	6	0
6-dia	6	0
lola	6	0
guanine-n	6	0
topo	6	0
n-acetyltransferase	6	0
o-acyltransferase	6	0
pmm-family	6	0
yaet	6	0
uridine	6	0
alanyl	6	0
kica	6	0
chaperone	5	17
region	5	4
undecaprenyldiphospho-muramoylpentapeptide	5	0
glycine	5	0
antigen	5	0
condesin	5	0
glutamate--trna	5	0
particle-docking	5	0
condensin	5	0
glmu	5	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	5	0
flavoprotein	5	0
dna-binding	4	13
releasing	4	9
octaprenyl	4	6
abc-type	4	4
with	4	3
catalytic	4	3
regulator	4	3
terminal	4	2
fused	4	2
transketolase	4	2
alanine--trna	4	0
5-phosphoribosylamino	4	0
4-dihydroxy-2-butanone-4-phosphate	4	0
ubib	4	0
pp-loop	4	0
proline--trna	4	0
6-diami	4	0
emap	4	0
serine--trna	4	0
pyrimidine	4	0
minopimelate	4	0
pantetheine-phosphate	4	0
methionine--trna	4	0
srp54-type	4	0
minopim	4	0
n-acetylmuramyl-	4	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	4	0
ef-ts	4	0
isoleucine--trna	4	0
leucine--trna	4	0
glutamyl-	4	0
diaminohydroxyphosphoribosylaminopyrimidine	4	0
threonine--trna	4	0
glutamine--trna	4	0
valine--trna	4	0
glycosyl	4	0
asparagine--trna	4	0
yidc	4	0
5-amino-6-	4	0
uracil	4	0
acyl	3	20
superfamily	3	5
hydrolase	3	5
transpeptidase	3	3
geranylgeranyl	3	2
threonylcarbamoyladenosine	3	2
sugar	3	2
synthesis	3	2
small	3	2
acetyltransferase	3	0
l22p	3	0
phosphopantothenate	3	0
mukf	3	0
udp-n-acetylmuramyl-tripeptide	3	0
l-carboxyvinyltransferase	3	0
protective	3	0
nine	3	0
phosphopantothenate-cysteine	3	0
abc1	3	0
also	3	0
-monophosphate	3	0
function	3	0
l14p	3	0
2-polyprenylphenol	3	0
semialdehyde	3	0
permeases	3	0
oma87	3	0
udp-n-acetylmuramate--alanine	3	0
poly-cis-decaprenylcistransferase	3	0
phosphopantothenate--cysteine	3	0
di-trans	3	0
6-hydroxylase	3	0
tetraacyldisaccharide-1-p	3	0
penta	3	0
co-chaperonin	3	0
ef-g	3	0
beta-n-acetylglucosaminyltransferase	3	0
cpn10	3	0
1-acylglycerol-3-phosphate	3	0
mukbef	3	0
peptidase	2	54
cytidylyltransferase	2	41
acid	2	34
hydroxylase	2	18
polyprenyl	2	5
utilization	2	5
related	2	5
exporter	2	5
carboxypeptidase	2	4
membrane-specific	2	4
glycosyltransferase	2	3
adenosyltransferase	2	3
lantibiotic	2	2
ethanolamine	2	2
solvent	2	2
uroporphyrinogen-iii	2	2
c-terminus	2	2
ftsx-like	2	2
exporters	2	2
bacteriocin	2	2
double-glycine	2	2
contain	2	2
organic	2	2
tolerance	2	2
penicillin	2	2
ugmp	2	2
homolog	2	1
nucleotide-binding	2	1
structural	2	1
lumazine	2	0
istb-like	2	0
ptide	2	0
phosphoribosyl	2	0
yjgq	2	0
3-oxoacyl-acp	2	0
flavodoxin-1	2	0
2-octaprenylphenol	2	0
chromosome-related	2	0
omp85	2	0
l17e	2	0
stage	2	0
sec61	2	0
co-enzyme	2	0
6-di	2	0
surface	2	0
3-phosphoglycerate	2	0
l23e	2	0
n-terminus	2	0
unknown	2	0
solanesyl	2	0
rpb2	2	0
methionine	2	0
cytidylate	2	0
translocation	2	0
60kd	2	0
epsp	2	0
phospho-n-acetylmuramoyl-pentapeptide-	2	0
oxa1	2	0
gtp1	2	0
non-essential	2	0
ubid	2	0
-glucosamine	2	0
cofactor	2	0
diphosphokinase	2	0
lptb	2	0
peptide	2	0
lipoprotein-sorting	2	0
muke	2	0
sporulation	2	0
septal	2	0
propionyl-coa	2	0
3-phosphoshikimate	2	0
hydroxymethylbilane	2	0
daunorubicin	2	0
saga	2	0
phosphoribulokinase	2	0
aspartyl	2	0
proteins	2	0
symporter	2	0
prokaryotic	2	0
if2-alpha	2	0
diphosphorylase	2	0
beta-n-	2	0
maintenance	2	0
dipyromethane	2	0
guanine-1	2	0
carbon-nitrogen	2	0
lptg	2	0
sec61-gamma	2	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate--2	2	0
amidotransferase	2	0
phosphomannomutase	2	0
carbamoylphosphate	2	0
gtpases	2	0
carboxytransferase	2	0
tfiid	2	0
control	2	0
glutamine	2	0
o-acyltransferases	2	0
cyclohydrolase-2	2	0
3-polyprenyl-4-hydroxybenzoate	2	0
guanine	2	0
coenzyme	2	0
decarboxylases	2	0
s-malonyltransferase	2	0
trna-	2	0
lptbfgc	2	0
amino	2	0
uridyltransferase	2	0
phers	2	0
phosphoribosyltransferase	2	0
acetylglucosaminyltransferase	2	0
taf12	2	0
oxa1ec	2	0
carbamoyl-phosphate	2	0
dnab-like	2	0
phosphoglucomutase	2	0
muke-like	2	0
dimerisation	2	0
flda	2	0
resistance	2	0
deacetylase	2	0
phenylalanine	2	0
srp54	2	0
yjgp	2	0
implicated	2	0
6-diam	2	0
factors	2	0
glutamyl-trnaglu	2	0
histone	2	0
serine	1	19
periplasmic	1	8
outer-membrane	1	6
wall	1	4
biogenesis	1	3
-binding	1	3
hexapeptide	1	2
udp-n-acetylmuramoyl-l-alanyl-d-glutamate	1	2
transcriptional	1	2
modification	1	2
oxidoreductase	1	2
repeats	1	2
bamabcde	1	1
ring	1	1
groesl	1	1
localization	1	1
02426	1	0
02524	1	0
udp-3-o-acyl-glcnac	1	0
03939	1	0
tide	1	0
phosphoribosylpyrophosphate	1	0
metrs	1	0
03430	1	0
l10p	1	0
01288	1	0
00870	1	0
04498	1	0
glutamyl	1	0
partioning	1	0
auxillary	1	0
00878	1	0
02428	1	0
01706	1	0
02710	1	0
04430	1	0
00860	1	0
-n-acetyltransferase	1	0
04672	1	0
d-alanyl-d-alanine	1	0
acetylcoa	1	0
triphosphate-binding	1	0
04492	1	0
tubulin-like	1	0
recruitment	1	0
long	1	0
asparaginyl	1	0
01710	1	0
ef-2	1	0
00873	1	0
02539	1	0
01911	1	0
03437	1	0
thrrs	1	0
04433	1	0
01776	1	0
00987	1	0
organelle	1	0
guanine-1-	1	0
00473	1	0
01171	1	0
mrsa	1	0
03439	1	0
00583	1	0
01536	1	0
loader	1	0
s11p	1	0
fad-binding	1	0
01833	1	0
thiamine	1	0
03568	1	0
02550	1	0
obge	1	0
00861	1	0
pentapep	1	0
kleisin-like	1	0
n-acetyl	1	0
ser-trna	1	0
02355	1	0
phospho-n-acetylmuramoyl-pentapeptidetransferase	1	0
01134	1	0
motif	1	0
03446	1	0
00657	1	0
membrane-associated	1	0
udp-n-acetylmuramate-l-alanine	1	0
repair	1	0
03829	1	0
-pyrophosphoryl-undecaprenol	1	0
glutr	1	0
02035	1	0
ftsk	1	0
01431	1	0
01632	1	0
00872	1	0
gros	1	0
02534	1	0
00470	1	0
01835	1	0
hsp10	1	0
00598	1	0
rrna-binding	1	0
pentape	1	0
03148	1	0
extracytoplasmic	1	0
02537	1	0
02525	1	0
02145	1	0
n-acetylglucosaminyl	1	0
01013	1	0
02532	1	0
02425	1	0
l12p	1	0
3-octaprenyl-4hydroxybenzoate	1	0
01154	1	0
01024	1	0
pore-forming	1	0
glycation	1	0
nadh	1	0
01828	1	0
organellar	1	0
l-alanine	1	0
affecting	1	0
02436	1	0
malonyl-acp	1	0
guanine37-n	1	0
phospho-n-acetylmuramoyl-pentapeptide	1	0
00448	1	0
00879	1	0
udp-n-acetylmuramoyl-tripeptide	1	0
03410	1	0
04019	1	0
01005	1	0
01803	1	0
gamma	1	0
00755	1	0
sam-dependent	1	0
02437	1	0
00941	1	0
00890	1	0
00468	1	0
lipoproteins	1	0
03412	1	0
02543	1	0
pd1-like	1	0
02434	1	0
oxaa	1	0
02435	1	0
malonyl-coa-	1	0
05455	1	0
beta-ketoacyl-acp	1	0
00881	1	0
00887	1	0
00603	1	0
mal3265	1	0
01713	1	0
03114	1	0
02431	1	0
02717	1	0
01310	1	0
04497	1	0
03124	1	0
02540	1	0
03116	1	0
00999	1	0
binds	1	0
00656	1	0
01172	1	0
00786	1	0
01001	1	0
02008	1	0
receptor	1	0
02427	1	0
l24p	1	0
03143	1	0
00884	1	0
l21p	1	0
00882	1	0
growth	1	0
00022	1	0
01901	1	0
02289	1	0
03866	1	0
01829	1	0
divisome	1	0
02529	1	0
secyeg	1	0
03429	1	0
00877	1	0
alars	1	0
6-diaminopimelate--d-alanyl-d-alanyl	1	0
01753	1	0
charges	1	0
02723	1	0
fad-requiring	1	0
calcium	1	0
02432	1	0
threonine	1	0
glucosamine	1	0
release	1	0
asparagine	1	0
udp-3-o-acyl	1	0
unclassified	1	0
aspartate	1	0
03873	1	0
hydroxylation	1	0
septum	1	0
02526	1	0
03593	1	0
02356	1	0
udp-n-glucosamine	1	0
selenocysteinyl-trna	1	0
dual	1	0
meso-diaminopimelate	1	0
03569	1	0
03426	1	0
systematic	1	0
n-acetylglucosamine-1-phosphate	1	0
-phosphopantothenoylcysteine	1	0
00471	1	0
03438	1	0
fmn-binding	1	0
02149	1	0
01820	1	0
02528	1	0
01822	1	0
dnab	1	0
octaprenylphenol	1	0
01809	1	0
01832	1	0
anchored	1	0
01002	1	0
01131	1	0
glurs	1	0
bif-2	1	0
monophosphate	1	0
phosphatidylglycerol-prolipoprotein	1	0
05444	1	0
dihydrodipicolinate	0	43
thymidylate	0	41
shape-determining	0	36
primosomal	0	31
2-c-methyl-d-erythritol	0	30
dihydroneopterin	0	23
4-cyclodiphosphate	0	23
ferrochelatase	0	22
uroporphyrinogen	0	21
adenylate	0	21
dephospho-coa	0	21
n-succinyltransferase	0	21
pyrophosphatase	0	20
lexa	0	20
dehydratase	0	20
repressor	0	19
enolase	0	19
delta-aminolevulinic	0	19
aldolase	0	19
epsilon	0	19
7-dimethyl-8-ribityllumazine	0	19
hydroxymethyltransferase	0	18
menaquinone	0	18
ftsw	0	18
desuccinylase	0	18
4-hydroxybenzoate	0	17
cysteinyl-trna	0	17
tyrosyl-trna	0	17
succinyl-diaminopimelate	0	16
ribonucleoside-diphosphate	0	16
roda	0	16
dnak	0	16
processing	0	16
rrna	0	16
3-deoxy-manno-octulosonate	0	15
2-octaprenyl-6-methoxyphenol	0	15
lolb	0	14
rimm	0	14
geranyltranstransferase	0	14
cydd	0	14
aminotransferase	0	13
ubie	0	12
3-phosphate	0	12
dihydrolipoamide	0	12
zipa	0	12
udp-n-acetylmuramoylalanine--d-glutamate	0	11
glyceraldehyde	0	11
heat	0	11
shock	0	11
2c-methyl-d-erythritol	0	11
glucosamine--fructose-6-phosphate	0	11
omega	0	11
atp-dependent	0	10
sigma-32	0	10
mrec	0	10
lolc	0	10
holliday	0	10
5-tetrahydropyridine-2-carboxylate	0	10
single-strand	0	10
nusa	0	10
junction	0	10
groel	0	10
lipoic	0	9
fold	0	9
5-tetrahydropyridine-2	0	9
glyceraldehyde-3-phosphate	0	9
octaprenyltransferase	0	9
adp-heptose	0	8
lpta	0	8
single-stranded	0	8
resolvase	0	8
protease	0	8
methenyltetrahydrofolate	0	8
dihydrofolate	0	7
d-beta-d-heptose	0	7
yfio	0	7
monophosphatase	0	7
lipoyl	0	7
10-methylene-tetrahydrofolate	0	7
inositol	0	7
methylenetetrahydrofolate	0	6
1-phosphate	0	6
extragenic	0	6
folc	0	6
suppressor	0	6
6-dicarboxylate	0	6
nicotinate-nucleotide	0	6
dihydrolipoyl	0	6
suhb	0	6
7-phosphate	0	6
inositol-1-monophosphatase	0	6
enzymes	0	5
hlde	0	5
d-glutamate	0	5
udp-n-acetylmuramoyl-l-alanine	0	5
cysteine	0	5
l10e	0	4
-epimerase	0	4
tyrosine--trna	0	4
triphosphate	0	4
uncharacterised	0	4
pria	0	4
heptose	0	4
3-deoxy-d-manno-octulosonate	0	4
ribonucleotide	0	4
nicotinic	0	4
cysteine--trna	0	4
metalloprotease	0	4
mononucleotide	0	4
rpoh	0	4
exonuclease	0	4
hsp70	0	4
cpn60	0	4
chloroplast	0	4
lold	0	4
primosome	0	4
nucleotide	0	3
glutathione	0	3
hflb	0	3
alternative	0	3
nicotinamide	0	3
metallopeptidase	0	3
lipoate	0	3
rrna-processing	0	3
nicotinate	0	3
ribonucleotide-diphosphate	0	3
yeaz	0	3
large	0	3
hydratase	0	3
complexes	0	3
tetrahydrofolate	0	3
grol	0	3
6-carboxylate	0	3
l16p	0	3
archaeal	0	3
prime	0	3
molecular	0	3
isomerizing	0	3
phosphopyruvate	0	3
metal-dependent	0	3
ftsh	0	3
oxidase	0	2
lysophospholipase	0	2
radical	0	2
aminoacylase	0	2
polysaccharide	0	2
l-alanine-dl-glutamate	0	2
transaminase	0	2
pyridoxal-phosphate-dependent	0	2
zn-finger	0	2
tetrahydrodipicolinate	0	2
spase	0	2
osta-like	0	2
p-loop	0	2
helix-destabilizing	0	2
thiol	0	2
upf0007	0	2
nad+	0	2
amidase	0	2
uro-d	0	2
farnesyl	0	2
zinc	0	2
traf	0	2
site	0	2
adenyltransferase	0	2
upf0081	0	2
fatty	0	2
prenyltransferase	0	2
coq5	0	2
ribosome-associated	0	2
2-octaprenyl-6-methoxyphenyl	0	2
cyddc	0	2
hslvu	0	2
polyprenyltransferase	0	2
yqgf	0	2
ubia	0	2
l-glutamine	0	2
tcp-1	0	2
upf0079	0	2
dnai	0	2
pathway	0	2
zuotin	0	2
secretory	0	2
ftsz-binding	0	2
7-keto-8-aminopelargonate	0	2
8-amino-7-oxononanoate	0	2
heptaprenyl	0	2
uptake	0	2
s24-like	0	2
merops	0	2
pyridine	0	2
pyocin	0	2
l18e	0	2
spore	0	2
epimerase	0	2
attachment	0	2
universal	0	2
succinyldiaminopimelate	0	2
substance	0	2
regulatory	0	2
yjee	0	2
bamd	0	2
dead	0	2
nucleotide-disulphide	0	2
reductant	0	2
folb	0	2
cytochrome	0	2
coat	0	2
histidinol-phosphatase	0	2
pyruvate	0	2
elongation-specific	0	2
rnase	0	2
4-hydroxylase	0	2
barrel	0	2
adp-binding	0	2
2-oxoglutarate	0	2
associated	0	2
deah	0	2
tigr00250	0	2
fole	0	2
d-fructose-6-phosphate	0	2
2-polyprenyl-6-methoxyphenol	0	2
resolvase-like	0	2
ygbb	0	2
clpyq	0	2
zinc-metallo	0	1
glycerol	0	1
aspartic	0	1
l13p	0	1
03936	0	1
02666	0	1
02009	0	1
exported	0	1
strand	0	1
tigr00150	0	1
hsp60	0	1
04432	0	1
02724	0	1
lipa	0	1
00020	0	1
4-diphosphocytidyl-2c-methyl-d-erythritol	0	1
stabilizing	0	1
-dependent	0	1
sos-response	0	1
01918	0	1
03820	0	1
02429	0	1
regulon	0	1
glutamine--fructose-6-phosphate	0	1
rfae	0	1
03108	0	1
04495	0	1
nad-dependent	0	1
p-hydroxybenzoate	0	1
s19p	0	1
cyddc-e	0	1
4-benzoquinone	0	1
d-transpeptidase	0	1
00626	0	1
fructose-1	0	1
01144	0	1
diacid	0	1
01323	0	1
methylase	0	1
00867	0	1
2-octaprenyl-6-methoxy-1	0	1
co-chaperone	0	1
l27p	0	1
03575	0	1
dhdps	0	1
restart	0	1
pausing	0	1
01551	0	1
methyltransferases	0	1
leader	0	1
00869	0	1
farnesyl-diphosphate	0	1
protoheme	0	1
beta-d-heptose	0	1
pfkb	0	1
d-alpha	0	1
02458	0	1
single	0	1
01903	0	1
duplication	0	1
01003	0	1
01150	0	1
inactive	0	1
mrebcd	0	1
ferritin-like	0	1
5-aminolevulinate	0	1
l15p	0	1
02443	0	1
4-benzoquinol	0	1
03109	0	1
glutamine-fructose-6-phosphate	0	1
10-methylenetetrahydrofolate	0	1
02833	0	1
dnaj	0	1
02430	0	1
partner	0	1
05459	0	1
02097	0	1
01801	0	1
udp-n-acetylmuramoylalanine-d-glutamate	0	1
cysteine--trnaligase	0	1
three	0	1
01432	0	1
03570	0	1
gtp-ch-i	0	1
deacylase	0	1
00948	0	1
00891	0	1
00449	0	1
01900	0	1
l20p	0	1
methylenetetrahydrofolat	0	1
01712	0	1
00988	0	1
03592	0	1
01830	0	1
03433	0	1
proteases	0	1
00871	0	1
00039	0	1
02835	0	1
shmt	0	1
02809	0	1
stabilizer	0	1
03102	0	1
flippase	0	1
enzyme	0	1
nadp+	0	1
03989	0	1
02375	0	1
division-specific	0	1
lipoamide	0	1
01726	0	1
04342	0	1
03406	0	1
part	0	1
00886	0	1
s26a	0	1
heme	0	1
00352	0	1
01281	0	1
phosphorylating	0	1
00868	0	1
l19p	0	1
01023	0	1
ferro-lyase	0	1
l17p	0	1
n-succinyl-diaminopimelate	0	1
01552	0	1
2-phospho-d-glycerate	0	1
02349	0	1
kdaprotein	0	1
02718	0	1
00050	0	1
2-octaprenyl-3-methyl-6-methoxy-1	0	1
02357	0	1
00758	0	1
01714	0	1
02570	0	1
03574	0	1
03113	0	1
diphosphatase	0	1
01011	0	1
fstz	0	1
2-dmk	0	1
01850	0	1
during	0	1
03591	0	1
l11p	0	1
04699	0	1
4-hydroxybenzoate-octaprenyltransferase	0	1
00874	0	1
01537	0	1
02044	0	1
00967	0	1
tsad	0	1
1-kinase	0	1
00876	0	1
lipopolysaccharide-binding	0	1
lps-binding	0	1
03665	0	1
6-bisphosphatase	0	1
02520	0	1
02072	0	1
giyceraldehyde-3-phosphate	0	1
03874	0	1
dtmp	0	1
hydro-lyase	0	1
03767	0	1
03774	0	1
carbohydrate	0	1
02290	0	1
02810	0	1
SUM	8519	5483
