WORD	Ancestralii	Not
s-malonyltransferase	2	0
uridyltransferase	2	0
yjee	2	0
acetylglucosaminyltransferase	2	0
oxa1ec	2	0
carbamoyl-phosphate	2	0
bamd	2	0
pyruvate	2	0
helix-destabilizing	2	0
dimerisation	2	0
flda	2	0
deacetylase	2	0
adp-binding	2	0
lipoprotein-sorting	2	0
-glucosamine	2	0
attachment	2	0
adenyltransferase	2	0
uptake	2	0
glutamyl-trnaglu	2	0
phosphoribosyltransferase	2	0
clpyq	2	0
release	1	32
methylase	1	23
dnaj	1	18
ftsk	1	16
regulon	1	12
2-octaprenyl-3-methyl-6-methoxy-1	1	11
4-benzoquinol	1	11
enzyme	1	10
gamma	1	9
nad-dependent	1	7
septum	1	5
-dependent	1	5
monophosphate	1	5
thiamine	1	4
exported	1	4
motif	1	3
organelle	1	2
growth	1	2
heme	1	2
systematic	1	2
co-chaperone	1	2
mrebcd	1	2
diphosphatase	1	2
4-diphosphocytidyl-2c-methyl-d-erythritol	1	1
acetylcoa	1	1
repair	1	1
flippase	1	1
restart	1	1
nadp+	1	1
triphosphate-binding	1	1
auxillary	1	1
sos-response	1	1
secyeg	1	1
02524	1	0
glycerol	1	0
aspartic	1	0
tide	1	0
04342	1	0
phosphoribosylpyrophosphate	1	0
03430	1	0
thrrs	1	0
l10p	1	0
03989	1	0
01288	1	0
02835	1	0
04498	1	0
02357	1	0
cyddc-e	1	0
02428	1	0
02009	1	0
hsp60	1	0
-n-acetyltransferase	1	0
d-alanyl-d-alanine	1	0
04492	1	0
02429	1	0
recruitment	1	0
02035	1	0
ef-2	1	0
s19p	1	0
04495	1	0
d-transpeptidase	1	0
00626	1	0
01911	1	0
single	1	0
2-octaprenyl-6-methoxy-1	1	0
guanine-1-	1	0
mrsa	1	0
00583	1	0
dhdps	1	0
01536	1	0
s11p	1	0
01551	1	0
00870	1	0
01281	1	0
methyltransferases	1	0
obge	1	0
d-alpha	1	0
n-acetylglucosamine-1-phosphate	1	0
03116	1	0
phospho-n-acetylmuramoyl-pentapeptidetransferase	1	0
01134	1	0
dnab	1	0
00470	1	0
03406	1	0
udp-n-acetylmuramate-l-alanine	1	0
3-octaprenyl-4hydroxybenzoate	1	0
00999	1	0
-pyrophosphoryl-undecaprenol	1	0
inactive	1	0
01431	1	0
00872	1	0
02539	1	0
03109	1	0
02534	1	0
01835	1	0
rrna-binding	1	0
00598	1	0
10-methylenetetrahydrofolate	1	0
02430	1	0
02537	1	0
05459	1	0
three	1	0
01432	1	0
l12p	1	0
extracytoplasmic	1	0
00876	1	0
01154	1	0
l-alanine	1	0
04672	1	0
methylenetetrahydrofolat	1	0
02436	1	0
01712	1	0
guanine37-n	1	0
01830	1	0
loader	1	0
03829	1	0
00039	1	0
02525	1	0
04019	1	0
fructose-1	1	0
01803	1	0
03433	1	0
receptor	1	0
sam-dependent	1	0
shmt	1	0
02437	1	0
00941	1	0
00890	1	0
stabilizer	1	0
00468	1	0
lipoproteins	1	0
02543	1	0
pd1-like	1	0
03820	1	0
oxaa	1	0
02435	1	0
during	1	0
05455	1	0
l27p	1	0
beta-ketoacyl-acp	1	0
00881	1	0
phosphatidylglycerol-prolipoprotein	1	0
00603	1	0
mal3265	1	0
long	1	0
division-specific	1	0
02431	1	0
s26a	1	0
n-acetylglucosaminyl	1	0
04497	1	0
03124	1	0
02540	1	0
phosphorylating	1	0
00868	1	0
binds	1	0
00656	1	0
02097	1	0
l17p	1	0
01552	1	0
01172	1	0
2-phospho-d-glycerate	1	0
02349	1	0
kdaprotein	1	0
02718	1	0
00050	1	0
01001	1	0
02008	1	0
02532	1	0
01714	1	0
00884	1	0
l21p	1	0
00022	1	0
02570	1	0
02289	1	0
01011	1	0
fstz	1	0
01850	1	0
part	1	0
03939	1	0
divisome	1	0
l11p	1	0
03574	1	0
alars	1	0
6-diaminopimelate--d-alanyl-d-alanyl	1	0
01753	1	0
02044	1	0
lipa	1	0
lipopolysaccharide-binding	1	0
glucosamine	1	0
asparagine	1	0
udp-3-o-acyl	1	0
02526	1	0
03593	1	0
lps-binding	1	0
selenocysteinyl-trna	1	0
dual	1	0
meso-diaminopimelate	1	0
02145	1	0
03665	1	0
6-bisphosphatase	1	0
03569	1	0
03426	1	0
02520	1	0
00473	1	0
protoheme	1	0
01820	1	0
02528	1	0
01809	1	0
01832	1	0
anchored	1	0
01131	1	0
00020	1	0
glurs	1	0
03774	1	0
carbohydrate	1	0
02426	1	0
udp-3-o-acyl-glcnac	1	0
l20p	1	0
glutamine--fructose-6-phosphate	1	0
l13p	1	0
metrs	1	0
glutamyl	1	0
01801	1	0
partioning	1	0
00878	1	0
03570	1	0
01706	1	0
02710	1	0
02724	1	0
00874	1	0
02375	1	0
partner	1	0
00860	1	0
00448	1	0
stabilizing	1	0
01918	1	0
02427	1	0
tubulin-like	1	0
aspartate	1	0
02356	1	0
4-hydroxybenzoate-octaprenyltransferase	1	0
03108	1	0
asparaginyl	1	0
01710	1	0
02723	1	0
malonyl-acp	1	0
diacid	1	0
01323	1	0
fad-requiring	1	0
03437	1	0
00867	1	0
04433	1	0
01003	1	0
01776	1	0
00987	1	0
cysteine--trnaligase	1	0
03575	1	0
02809	1	0
pausing	1	0
02432	1	0
01726	1	0
01833	1	0
03568	1	0
02550	1	0
leader	1	0
00869	1	0
farnesyl-diphosphate	1	0
03113	1	0
beta-d-heptose	1	0
pfkb	1	0
00861	1	0
02529	1	0
charges	1	0
n-acetyl	1	0
ser-trna	1	0
p-hydroxybenzoate	1	0
02355	1	0
4-benzoquinone	1	0
00657	1	0
membrane-associated	1	0
01903	1	0
glutr	1	0
l15p	1	0
00873	1	0
01632	1	0
gros	1	0
5-aminolevulinate	1	0
02443	1	0
glutamine-fructose-6-phosphate	1	0
01150	1	0
hsp10	1	0
zinc-metallo	1	0
pentape	1	0
02833	1	0
03148	1	0
udp-n-acetylmuramoylalanine-d-glutamate	1	0
03874	1	0
01013	1	0
02425	1	0
gtp-ch-i	1	0
deacylase	1	0
calcium	1	0
01171	1	0
01024	1	0
00948	1	0
pore-forming	1	0
glycation	1	0
00891	1	0
nadh	1	0
01828	1	0
01900	1	0
02666	1	0
organellar	1	0
04430	1	0
affecting	1	0
03439	1	0
00988	1	0
03592	1	0
phospho-n-acetylmuramoyl-pentapeptide	1	0
pentapep	1	0
proteases	1	0
00871	1	0
tigr00150	1	0
01537	1	0
00352	1	0
00879	1	0
udp-n-acetylmuramoyl-tripeptide	1	0
03410	1	0
01005	1	0
2-dmk	1	0
n-succinyl-diaminopimelate	1	0
fmn-binding	1	0
03936	1	0
03412	1	0
03102	1	0
giyceraldehyde-3-phosphate	1	0
02434	1	0
fad-binding	1	0
00758	1	0
00887	1	0
01713	1	0
00471	1	0
03114	1	0
02149	1	0
00886	1	0
02717	1	0
01310	1	0
00967	1	0
01822	1	0
01023	1	0
ferro-lyase	1	0
malonyl-coa-	1	0
00786	1	0
l24p	1	0
03143	1	0
lipoamide	1	0
00882	1	0
01901	1	0
01829	1	0
00755	1	0
rfae	1	0
03591	1	0
04699	1	0
01144	1	0
03429	1	0
00877	1	0
kleisin-like	1	0
strand	1	0
dtmp	1	0
1-kinase	1	0
03866	1	0
threonine	1	0
duplication	1	0
ferritin-like	1	0
02458	1	0
unclassified	1	0
03873	1	0
hydroxylation	1	0
udp-n-glucosamine	1	0
00449	1	0
-phosphopantothenoylcysteine	1	0
03438	1	0
tsad	1	0
02072	1	0
l19p	1	0
04432	1	0
02810	1	0
03446	1	0
octaprenylphenol	1	0
01002	1	0
hydro-lyase	1	0
03767	1	0
bif-2	1	0
05444	1	0
02290	1	0
ribonuclease	0	45
isomerase	0	44
heptosyltransferase	0	30
ubiquinol	0	30
ribosome	0	26
lyase	0	23
deformylase	0	23
primase	0	22
if-3	0	22
topological	0	21
peptidyl-trna	0	21
specificity	0	21
adenylosuccinate	0	21
cluster	0	21
ftsl	0	20
racemase	0	20
if-1	0	20
uridylyltransferase	0	20
secb	0	20
adenine	0	19
carbon	0	19
formyltransferase	0	19
hydroxyacylglutathione	0	19
desulfurase	0	19
glutamate	0	18
storage	0	18
tonb	0	18
phosphoheptose	0	18
dihydropteroate	0	17
3-deoxy-d-manno-octulosonic-acid	0	17
recycling	0	17
succinyltransferase	0	17
glutamate-1-semialdehyde	0	17
glucose-specific	0	16
3-demethylubiquinone-9	0	16
oligoribonuclease	0	16
1-aminomutase	0	15
iron-sulfur	0	15
isocitrate	0	15
deoxyuridine	0	15
-triphosphate	0	14
trna-specific	0	14
ribose	0	14
phosphatidate	0	14
3-methyltransferase	0	14
thiamine-monophosphate	0	14
fructose-bisphosphate	0	14
nucleotidohydrolase	0	14
phosphate	0	14
arginyl-trna	0	14
hsca	0	14
grpe	0	13
holo-	0	13
-bis	0	13
polypeptide	0	13
lauroyl	0	13
secf	0	13
aspartyl-trna	0	13
guanosine-3	0	13
protoporphyrinogen	0	13
histidyl-trna	0	13
3-diacylglucosamine	0	12
rare	0	12
udp-2	0	12
activator	0	12
seca	0	12
phou	0	11
acyl-	0	11
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	0	11
2-dehydro-3-deoxyphosphooctonate	0	11
4-hydroxy-3-methylbut-2-enyl	0	11
o-phosphatidyltransferase	0	11
4-diphosphocytidyl-2-c-methyl-d-erythritol	0	11
-pyrophosphohydrolase	0	11
nifu-like	0	11
mreb	0	11
-lipid	0	11
mred	0	10
mvin	0	10
repeat	0	10
operon	0	10
nucleotidyltransferase	0	10
secg	0	10
mine	0	10
sigma-24	0	10
adp-l-glycero-d-mannoheptose-6-epimerase	0	10
5-methylaminomethyl-2-thiouridylate	0	10
tuse	0	9
enga	0	9
adenosine	0	9
ribose-5-phosphate	0	9
biotin-	0	9
cdp-diacylglycerol-serine	0	9
lysyl-trna	0	9
3-phosphatidyltransferase	0	8
cdp-diacylglycerol--glycerol-3-phosphate	0	8
fructose	0	8
adp-heptose-lps	0	8
sigma-e	0	8
rf-1	0	8
-subunit	0	8
4-hydroxy-3-methylbut-2-en-1-yl	0	8
tetratricopeptide	0	8
scaffold	0	8
nh3-dependent	0	8
sulfurtransferase	0	8
ftsb	0	8
-hydroxymyristol	0	8
glucose-1-phosphate	0	8
lytb	0	8
rsep	0	7
trna-modifying	0	7
virulence	0	7
heptosyl	0	7
heptosyltransferase-1	0	7
degs	0	7
utp--glucose-1-phosphate	0	7
monooxygenase	0	6
endoprotease	0	6
cdp-diglyceride	0	6
carrier-protein	0	6
insertion	0	6
nadp	0	6
ygfz	0	6
spot	0	6
rf-2	0	6
multifunctional	0	6
rpoe	0	6
6-bisphosphate	0	6
oxoglutarate	0	6
containing	0	6
d-3-hydroxydecanoyl-	0	6
phosphotidylglycerophosphate	0	6
yrdc	0	6
maturation	0	6
2-thiouridylase	0	6
dehydrase	0	6
succinyl-transferring	0	6
eiia	0	5
hsp24	0	5
igaa	0	5
ppgpp	0	5
erpa	0	5
phosphotransferase	0	5
nucleotidyl	0	5
dsrc	0	5
sua5	0	5
phosphatase	0	5
-cyclic	0	5
adp-l-glycero-d-manno-heptose-6-epimerase	0	5
dihydrolipoyllysine-residue	0	5
sulfur	0	5
3-hydroxydecanoyl-	0	5
mnma	0	5
phosphodiesterase	0	5
iscu	0	5
histidine--trna	0	4
utp-glucose-1-phosphate	0	4
upf0054	0	4
aspartate--trna	0	4
iscs	0	4
adp-glyceromanno-heptose	0	4
acetyl-coa-carboxylase	0	4
alpha-d-glucose	0	4
spoiiie	0	4
cysb	0	4
global	0	4
cytidine	0	4
rsga	0	4
folate-binding	0	4
rela	0	4
metallo-beta-lactamase	0	4
arginine--trna	0	4
ysxc	0	4
phosphate-specific	0	4
-hydroxymyristoyl-	0	4
aminomethyltransferase	0	4
lysine--trna	0	4
l25p	0	4
o-acetyltransferase	0	4
lipopolysaccharide-assembly	0	4
lptf	0	4
subunit-dependent	0	4
6-epimerase	0	4
accessory	0	4
dnaa-homolog	0	4
formation	0	4
lysr	0	4
ybey	0	4
fe-s	0	4
l30p	0	3
adp-heptose--lps	0	3
4-diphosphate	0	3
engb	0	3
3-o-methyltransferase	0	3
ywlc	0	3
rlpb	0	3
bira	0	3
lps-assembly	0	3
glutamate-1-semialdehyde-2	0	3
dsvc	0	3
2-octaprenyl-6-hydroxy	0	3
phosphatidylglycerophosphate	0	3
udp-glucose	0	3
3-deoxy-8-phosphooctulonate	0	3
rna-binding	0	3
held-sert	0	3
2-amino-4-hydroxy-6-hydroxymethyldihyropteridine	0	3
1-hydroxy-2-methyl-2-	0	3
phenol	0	3
l18p	0	3
sulfite	0	3
relay	0	3
3-glucosyltransferase	0	3
intergenic	0	3
l-cysteine	0	3
myristoyl	0	3
inactivator	0	3
ycio	0	3
constitutive	0	3
rfag	0	3
-butenyl	0	3
8-phosphate	0	3
lysyl	0	3
