pathway	pathname	path_genes	up_p	up_cor	up_max_stat	path_genes_up	genes_up	down_p	down_cor	down_max_stat	path_genes_down	genes_down
eco00770	Pantothenate and CoA biosynthesis - Escherichia coli K-12 MG1655	5	0	-0.849467421641526	0.000421999999999978	1	104	0.616633861618318	-0.284862956969289	-0.00201500000000004	4	99
eco00790	Folate biosynthesis - Escherichia coli K-12 MG1655	6	0	-0.887731716975216	0	1	160	0.616633861618318	-0.290390987889457	-8.29999999999997e-05	5	123
eco03440	Homologous recombination - Escherichia coli K-12 MG1655	11	0.292031835654551	0.299403479503583	0	8	168	0.616633861618318	0.451525796727132	-0.202791	1	1
eco00630	Glyoxylate and dicarboxylate metabolism - Escherichia coli K-12 MG1655	2	0	-0.733648650962371	0	0	0	0.580806315775179	0.0559387970304278	-0.015223	2	70
eco00061	Fatty acid biosynthesis - Escherichia coli K-12 MG1655	11	0.57644520063953	-0.606104726702895	0.000421999999999978	8	139	0.0865143233592698	-0.730834203591755	-0.038035	2	50
eco01212	Fatty acid metabolism - Escherichia coli K-12 MG1655	11	0.57644520063953	-0.606104726702895	0.000421999999999978	8	139	0.0865143233592698	-0.730834203591755	-0.038035	2	50
eco04122	Sulfur relay system - Escherichia coli K-12 MG1655	2	0.545637702650243	-0.181841608693687	0.049935	2	87	0	-0.746424083884482	0	0	0
eco00564	Glycerophospholipid metabolism - Escherichia coli K-12 MG1655	7	0	-0.750526729635023	0.000421999999999978	2	100	0.544039879971476	-0.300309468334467	-8.29999999999997e-05	5	109
eco01130	Biosynthesis of antibiotics - Escherichia coli K-12 MG1655	27	0.541133611011231	-0.574356285784847	0.049935	1	1	0.329385255655223	-0.569681635492867	-8.29999999999997e-05	13	115
eco00520	Amino sugar and nucleotide sugar metabolism - Escherichia coli K-12 MG1655	5	0	-0.843806702310361	0.049935	1	95	0.534227454489195	-0.503137465100307	-8.29999999999997e-05	4	114
eco03410	Base excision repair - Escherichia coli K-12 MG1655	2	0.492508296694748	0.601934741719362	0.049935	1	17	0.149453635579597	-0.199326810501847	-0.012534	1	75
eco03420	Nucleotide excision repair - Escherichia coli K-12 MG1655	2	0.492508296694748	0.601934741719362	0.049935	1	17	0.149453635579597	-0.199326810501847	-0.012534	1	75
eco03018	RNA degradation - Escherichia coli K-12 MG1655	4	0.275796601521925	0.0790745515711816	0.049935	1	21	0.474351867669247	-0.182569293430061	-0.00355300000000003	3	92
eco00740	Riboflavin metabolism - Escherichia coli K-12 MG1655	6	0.429457646129245	-0.0410810988991423	0.049935	1	7	0.230943397388138	-0.266576547996123	-0.026726	2	54
eco00010	Glycolysis / Gluconeogenesis - Escherichia coli K-12 MG1655	5	0	-0.866312274923896	0	2	156	0.419503167370496	-0.370567899123602	-0.00355300000000003	3	79
eco00540	Lipopolysaccharide biosynthesis - Escherichia coli K-12 MG1655	9	0.046291913492599	-0.815020037717582	0	5	161	0.419503167370496	-0.584934565832383	-0.019207	4	67
eco00561	Glycerolipid metabolism - Escherichia coli K-12 MG1655	2	0	-0.774799527920714	0	0	0	0.419503167370496	0.390435795173328	-0.092232	1	18
eco00730	Thiamine metabolism - Escherichia coli K-12 MG1655	3	0.34423996211719	0.545196358952591	0.049935	2	83	0.419503167370496	0.607479629513174	-0.107996	1	13
eco00785	Lipoic acid metabolism - Escherichia coli K-12 MG1655	1	0	-0.593571822825799	0	0	0	0.417705465428163	0.244976898560469	-0.070356	1	41
eco00250	Alanine, aspartate and glutamate metabolism - Escherichia coli K-12 MG1655	2	0	-0.79635738496496	0	0	0	0.406582124700597	0.129041371082898	-8.29999999999997e-05	2	114
eco00020	Citrate cycle (TCA cycle) - Escherichia coli K-12 MG1655	1	0	-0.63703668681482	0	0	0	0.391445764566769	0.127065091152817	-0.040573	1	49
eco00280	Valine, leucine and isoleucine degradation - Escherichia coli K-12 MG1655	1	0	-0.63703668681482	0	0	0	0.391445764566769	0.127065091152817	-0.040573	1	49
eco01501	beta-Lactam resistance - Escherichia coli K-12 MG1655	2	0.369136450821833	-0.490804000525676	0.000421999999999978	2	119	0	-0.785371681144963	0	0	0
eco00550	Peptidoglycan biosynthesis - Escherichia coli K-12 MG1655	11	0.349434769701242	-0.654037458445232	0.000421999999999978	7	135	0.149453635579597	-0.635879286727597	-0.02033	3	63
eco00460	Cyanoamino acid metabolism - Escherichia coli K-12 MG1655	1	0	-0.715474981992129	0	0	0	0.282301295141699	-0.143157250225853	-0.015223	1	70
eco00780	Biotin metabolism - Escherichia coli K-12 MG1655	5	0.281125188834378	-0.632420751436064	0	4	159	0	-0.834158772956611	-0.00355300000000003	1	84
eco00240	Pyrimidine metabolism - Escherichia coli K-12 MG1655	18	0.275796601521925	-0.365358680643996	0.049935	2	16	0.149453635579597	-0.533093928786591	-0.111012	1	10
eco00051	Fructose and mannose metabolism - Escherichia coli K-12 MG1655	1	0	-0.736353469620616	0	0	0	0.254204350506123	-0.24309831051899	-0.00355300000000003	1	79
eco00900	Terpenoid backbone biosynthesis - Escherichia coli K-12 MG1655	10	0.046291913492599	-0.625755447618461	0.049935	1	26	0.235815972450769	-0.429853963293951	-0.00355300000000003	4	82
eco00190	Oxidative phosphorylation - Escherichia coli K-12 MG1655	1	0	-0.756763252296142	0	0	0	0.189096026818079	-0.495248986267753	-0.00201500000000004	1	107
eco00300	Lysine biosynthesis - Escherichia coli K-12 MG1655	7	0.168198434765483	-0.660997882653052	0	5	166	0.0670832967479475	-0.754289484681385	-0.070356	1	38
eco00270	Cysteine and methionine metabolism - Escherichia coli K-12 MG1655	2	0	-0.808781688847729	0	1	166	0.149453635579597	-0.385085284506882	-0.012534	1	74
eco00471	D-Glutamine and D-glutamate metabolism - Escherichia coli K-12 MG1655	3	0.145413523835014	-0.647569861511659	0.000421999999999978	2	128	0.050458164681493	-0.728338055031311	-0.00355300000000003	1	89
eco01040	Biosynthesis of unsaturated fatty acids - Escherichia coli K-12 MG1655	1	0.145413523835014	-0.484159508376574	0.000421999999999978	1	116	0	-0.778340751904253	0	0	0
eco01503	Cationic antimicrobial peptide (CAMP) resistance - Escherichia coli K-12 MG1655	1	0.145413523835014	-0.465320579821724	0.000421999999999978	1	113	0	-0.782613804557492	0	0	0
eco01502	Vancomycin resistance - Escherichia coli K-12 MG1655	3	0.120377586441142	-0.658051760921902	0.000421999999999978	2	135	0.132760057712115	-0.575728862519596	-0.02033	1	61
eco02020	Two-component system - Escherichia coli K-12 MG1655	1	0.0681564190505196	-0.666594239153598	0	1	149	0	-0.71062064724352	0	0	0
eco00261	Monobactam biosynthesis - Escherichia coli K-12 MG1655	3	0.046291913492599	-0.736079289233686	0	2	166	0	-0.742008096536301	-8.29999999999997e-05	1	115
eco01210	2-Oxocarboxylic acid metabolism - Escherichia coli K-12 MG1655	1	0.046291913492599	-0.719055097707967	0	1	166	0	-0.63585022261551	0	0	0
