WORD	NON_ESSENTIAL	Not
Catalyzes the formation of a hydroxyacyl-CoA by addition of water on enoyl-CoA. Also exhibits 3-hydroxyacyl-CoA epimerase and 3-hydroxyacyl-CoA dehydrogenase activities (By similarity)	25	1
Conversion of pppGpp to ppGpp. Guanosine pentaphosphate (pppGpp) is a cytoplasmic signaling molecule which together with ppGpp controls the stringent response , an adaptive process that allows bacteria to respond to amino acid starvation, resulting in the coordinated regulation of numerous cellular activities (By similarity)	25	1
succinate dehydrogenase, flavoprotein subunit	25	1
Aspartokinase	25	1
Carbon starvation protein	25	1
Fumarate hydratase (Fumerase)	25	1
Catalyzes both the ATP-dependent activation of exogenously supplied lipoate to lipoyl-AMP and the transfer of the activated lipoyl onto the lipoyl domains of lipoate-dependent enzymes (By similarity)	25	1
glucarate dehydratase	25	1
citrate synthase	25	0
branched-chain amino acid ABC transporter	25	0
One of the components of the high-affinity ATP-driven potassium transport (or KDP) system, which catalyzes the hydrolysis of ATP coupled with the exchange of hydrogen and potassium ions (By similarity)	25	0
AraC family transcriptional regulator	24	22
Glycosyl transferase	24	22
fructose-bisphosphate aldolase	24	21
Glycosyl Transferase	24	17
Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	24	13
Heat shock protein	24	12
Is the main repressor of the genes involved in the de novo synthesis of purine nucleotides, regulating purB, purC, purEK, purF, purHD, purL, purMN and guaBA expression. PurR is allosterically activated to bind its cognate DNA by binding the purine corepressors, hypoxanthine or guanine, thereby effecting transcription repression (By similarity)	24	8
Atp-binding protein	24	8
phage protein	24	4
Tet-R family transcriptional regulator	24	3
Responsible for the transport of dicarboxylates such as succinate, fumarate, and malate from the periplasm across the membrane (By similarity)	24	2
transporter permease	24	2
Formate acetyltransferase	24	2
ATPase, P-type (transporting), HAD superfamily, subfamily IC	24	2
d-lactate dehydrogenase	24	1
Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring (By similarity)	24	1
Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)	24	1
ATP-binding protein	24	1
Nitrate reductase 2 alpha	24	0
small subunit	24	0
large subunit	24	0
(Ubiquinol oxidase) subunit I	23	11
Amino acid	23	8
Nudix Hydrolase	23	7
transketolase (EC 2.2.1.1)	23	7
Flavodoxin	23	5
MOSC domain-containing protein	23	4
Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	23	3
nitroreductase	23	3
Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)	23	3
The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane (By similarity)	23	3
Na( ) H( ) antiporter that extrudes sodium in exchange for external protons (By similarity)	23	3
Nitrite extrusion protein	23	3
Provides the cells with the ability to utilize trehalose at high osmolarity by splitting it into glucose molecules that can subsequently be taken up by the phosphotransferase-mediated uptake system (By similarity)	23	2
LrgB family	23	1
activating enzyme	23	0
Ferredoxin	22	16
arsenate reductase	22	13
Sugar Kinase	22	11
replication protein	22	10
endoribonuclease L-PSP	22	9
heme exporter protein	22	7
Probably plays a role in a hydrogenase nickel cofactor insertion step (By similarity)	22	6
cation diffusion facilitator family transporter	22	6
Pfam:DUF419	22	5
Pyruvate kinase	22	4
nitrogen regulatory protein PII	22	4
Seems to be involved in the anchoring of the catalytic components of the fumarate reductase complex to the cytoplasmic membrane (By similarity)	22	4
Necessary for formate dehydrogenase activity (By similarity)	22	4
peptidase U62, modulator of DNA gyrase	22	4
Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system (By similarity)	22	3
Nitrate reductase 2, gamma subunit	22	3
phosphate starvation-inducible protein	22	3
Methyl-transferase	22	2
GntR family transcriptional regulator	22	1
periplasmic binding protein	22	1
glutathionylspermidine synthase	22	0
tail fiber protein	21	25
Polysaccharide deacetylase	21	13
lysozyme	21	11
Anaerobic c4-dicarboxylate transporter	21	10
secretion protein	21	9
Citrate lyase beta	21	8
multidrug resistance protein mdtD	21	6
Thioesterase superfamily protein	21	6
Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)	21	5
Outer membrane receptor FepA	21	5
Metabolite H symporter, major facilitator superfamily (MFS)	21	5
Mammalian cell entry related domain protein	21	5
Adenylate cyclase	21	5
acyl-CoA thioester hydrolase	21	5
dmso reductase anchor subunit	21	4
resistance protein	21	4
Nudix hydrolase	21	4
Nitrate nitrite sensor protein	21	2
sulfurtransferase	21	2
alkyl hydroperoxide reductase	21	2
multidrug resistance protein mdtG	21	2
catalase	21	2
Glutamate dehydrogenase	21	1
formate acetyltransferase	21	1
ornithine carbamoyltransferase	21	0
abc transporter permease protein	21	0
Catalyzes the NAD-dependent conversion of D-erythrose 4- phosphate to 4-phosphoerythronate (By similarity)	20	14
Electron transfer flavoprotein	20	8
Molybdopterin biosynthesis protein (MoeB)	20	7
Acetolactate synthase, small subunit	20	6
Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)	20	6
extracellular solute-binding protein	20	5
formate dehydrogenase	20	5
membrane protein TerC	20	5
anaerobic dimethyl sulfoxide reductase	20	3
type VI secretion protein	20	2
ABC transporter, periplasmic molybdate-binding protein	20	1
dihydro-orotase (EC 3.5.2.3)	20	1
Transcriptional regulator, LysR family	20	0
Bifunctional UDP-sugar hydrolase 5'-nucleotidase periplasmic	19	11
Periplasmic oligopeptide-binding protein	19	10
Catalyzes the NAD(P)-dependent oxidation of 4- (phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4- (phosphohydroxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP) (By similarity)	19	10
Glutaredoxin	19	8
Phospholipase	19	7
Maf-like protein	19	7
Glutamate synthase	19	7
This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control (By similarity)	19	6
metal-binding protein	19	6
glycerol uptake facilitator protein	19	5
Electron transfer flavoprotein-ubiquinone oxidoreductase	19	4
proton-dependent permease that transports dipeptides (By similarity)	19	4
high-affinity nickel-transporter	19	2
Regulates arginine biosynthesis genes (By similarity)	19	2
Aldose 1-epimerase	19	1
Cystathionine gamma-synthase	19	1
Na H antiporter	19	1
Xanthine uracil vitamin C permease	19	0
Nad-dependent epimerase dehydratase	19	0
aspartate racemase	19	0
F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)	18	19
Alcohol dehydrogenase GroES domain protein	18	10
glycerophosphoryl diester phosphodiesterase	18	9
Acetylornithine aminotransferase	18	9
Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)	18	8
Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)	18	8
Tail Sheath protein	18	6
Acetyltransferase (GNAT) family	18	5
amino acid AbC transporter	18	4
Antibiotic biosynthesis monooxygenase	18	3
amidohydrolase	18	3
DNA-binding transcriptional repressor DeoR	18	2
glucose-1-phosphatase inositol phosphatase	18	2
transcriptional activator, Ogr delta	18	2
Phosphoesterase, PA-phosphatase related	18	2
glycerol dehydrogenase	18	2
Anaerobic dimethyl sulfoxide reductase, A subunit, DmsA YnfE family	18	1
Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	18	1
xylulokinase (EC 2.7.1.17)	18	1
citrate lyase, alpha	18	1
AMP-binding enzyme	18	0
isomerase	18	0
Sulfate transporter	18	0
Diguanylate phosphodiesterase	17	22
SIS domain	17	16
Protein of unknown function (DUF1778)	17	13
Is able to transfer iron-sulfur clusters to apo- ferredoxin. Multiple cycles of 2Fe2S cluster formation and transfer are observed, suggesting that IscA acts catalytically. Recruits intracellular free iron so as to provide iron for the assembly of transient iron-sulfur cluster in IscU in the presence of IscS, L-cysteine and the thioredoxin reductase system TrxA TrxB (By similarity)	17	9
formate dehydrogenase, beta subunit	17	8
Catalyzes the dehydration of D-galactonate to 2-keto-3- deoxy-D-galactonate (By similarity)	17	7
L-xylulose 5-phosphate 3-epimerase	17	6
Translocates 4-amino-4-deoxy-L-arabinose- phosphoundecaprenol (alpha-L-Ara4N-phosphoundecaprenol) from the cytoplasmic to the periplasmic side of the inner membrane (By similarity)	17	6
L-lactate dehydrogenase	17	5
phosphoserine phosphatase	17	4
Transcriptional regulator lysR family	17	4
c4-dicarboxylate anaerobic carrier	17	2
Dihydroxyacetone kinase	17	2
sodium dicarboxylate symporter	17	1
cdp-diacylglycerol pyrophosphatase	17	1
Covalent carrier of the coenzyme of citrate lyase (By similarity)	17	1
Dimethyl sulfoxide reductase	17	1
integral membrane protein	17	0
UPF0226 membrane protein	17	0
mandelate racemase muconate lactonizing	17	0
methionine synthase	17	0
GlcNAc 6-P deacetylase	17	0
Fructose-1,6-bisphosphatase	17	0
Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import (By similarity)	17	0
Lipid A biosynthesis lauroyl	16	13
integrase family	16	11
dNA topoisomerase	16	10
Phosphoethanolamine transferase	16	10
Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)	16	8
portal protein	16	7
PBPb	16	6
pirin domain protein	16	6
Hydrolyzes the alpha-1,6-glucosidic linkages in glycogen which has first been partially depolymerized by phosphorylase. Shows only very little activity with native glycogen (By similarity)	16	4
Integral membrane protein TerC family	16	2
multidrug resistance protein Y	16	1
type I restriction-modification system	16	1
Involved in the efflux of purine ribonucleosides, such as guanosine, adenosine and especially inosine. Involved in the resistance to 6-mercaptopurine (By similarity)	16	1
Phosphonate ABC transporter	16	1
Activates the small RNA gene sgrS under glucose- phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute-binding domain (By similarity)	16	1
Outer membrane lipoprotein Blc	16	1
Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity (By similarity)	16	0
Involved in protein transport multicopy suppressor of dominant negative ftsH mutants	16	0
Catalyzes the dehydration of D-mannonate (By similarity)	16	0
in E. coli the aegA gene is regulated by Fnr, NarXL, and NarQ (but not ArcA), induced under anaerobic conditions and repressed in the presence of nitrate (anaerobic)	16	0
DNA-binding protein	15	21
Antitermination protein	15	15
DNA helicase	15	15
regulator	15	14
Thiol disulfide Interchange Protein	15	11
Polysaccharide biosynthesis protein	15	11
RNA-binding protein	15	11
This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	15	9
2-hydroxy-3-oxopropionate reductase	15	7
Periplasmic binding protein LacI transcriptional regulator	15	6
ribokinase (EC 2.7.1.15)	15	6
amino acid carrier protein	15	5
chitinase	15	4
ribulose-phosphate 3-epimerase	15	4
PTS IIA-like nitrogen-regulatory protein PtsN	15	4
Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)	15	4
sugar efflux transporter	15	4
Transfers 2-(5''-triphosphoribosyl)-3'- dephosphocoenzyme-A on a serine residue to the apo-acyl carrier protein (gamma chain) of the citrate lyase to yield holo-acyl carrier protein (By similarity)	15	3
Phosphomethylpyrimidine kinase	15	3
Thioesterase	15	2
PTS system mannose fructose sorbose family IIC subunit	15	2
utilization protein	15	2
propanediol utilization diol dehydratase reactivation protein	15	2
Proton-dependent permease that transports di- and tripeptides (By similarity)	15	1
secretion protein HlyD family	15	1
S-formylglutathione hydrolase	15	1
Cupin 4 family protein	15	1
Involved in phosphonate degradation (By similarity)	15	1
extracellular solute-binding protein, family 1	15	1
4-aminobutyrate aminotransferase	15	1
type VI secretion protein, VC_A0111 family	15	0
flagellar motor protein	15	0
Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)	15	0
cyclopropane-fatty-acyl-phospholipid synthase	15	0
beta-glucosidase EC 3.2.1.21	15	0
endo-1,4-D-glucanase (EC 3.2.1.4)	15	0
periplasmic protein	15	0
leucine isoleucine valine transporter, ATP-binding subunit	15	0
The M ring may be actively involved in energy transduction (By similarity)	15	0
Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes (By similarity)	15	0
D-isomer specific 2-hydroxyacid dehydrogenase	15	0
H( )-stimulated, divalent metal cation uptake system (By similarity)	15	0
Nicotinamide-nucleotide adenylyltransferase	15	0
Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated (By similarity)	15	0
leucine isoleucine valine transporter permease subunit	15	0
The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane (By similarity)	15	0
Catalyzes the formation of putrescine from agmatine (By similarity)	15	0
Protein of unknown function (DUF1471)	14	15
Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate (By similarity)	14	12
In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)	14	11
Tryptophanyl-tRNA synthetase	14	8
Flagellar motor switch protein	14	7
Phage shock protein A	14	7
l-threonine 3-dehydrogenase	14	7
Nicotinamide mononucleotide transporter PnuC	14	5
arylsulfatase regulator	14	4
DNA polymerase V	14	3
phage tail protein	14	3
aminotransferase class I and II	14	3
ParB domain protein nuclease	14	3
DNA-binding prophage protein	14	2
Baseplate	14	2
Uronic isomerase	14	2
phosphate transporter	14	2
Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)	14	2
Cellulose synthase regulator protein	14	1
May be involved in recombination (By similarity)	14	1
Glutathione peroxidase	14	1
trehalose-6-phosphate hydrolase	14	1
Endoribonuclease L-PSP	14	1
Part of the ABC transporter complex MacAB involved in macrolide export. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)	14	1
Cellulose synthase, catalytic subunit	14	1
b-type cytochrome subunit	14	1
cystathionine beta-lyase	14	0
flagellar biosynthetic protein flhB	14	0
Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)	14	0
flagellar basal-body rod protein FlgG	14	0
NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step, the conversion of ubisemiquinone to ubiquinol (By similarity)	14	0
Catalyzes the NADPH-dependent reduction of glyoxylate and hydroxypyruvate into glycolate and glycerate, respectively (By similarity)	14	0
Formate hydrogenlyase subunit 4	14	0
Multidrug resistance protein MdtM	14	0
Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs (By similarity)	14	0
cellulose synthase operon protein YhjQ	14	0
formate hydrogenlyase maturation	14	0
UPF0249 protein	14	0
asparaginase	14	0
peptidase M48, Ste24p	14	0
NADH ubiquinone oxidoreductase 20 kDa subunit	14	0
iron-containing alcohol dehydrogenase	14	0
Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate (By similarity)	14	0
Hydrogenase 3, large subunit	14	0
Flagellar hook protein flgE	14	0
formate hydrogenlyase complex iron-sulfur subunit	14	0
outer membrane protein a	14	0
glycoside hydrolase, family 3 domain protein	14	0
Nucleoside	14	0
LamB YcsF family protein	14	0
cobalamin synthesis protein	14	0
Resolvase domain-containing protein	13	20
lipopolysaccharide	13	20
Low-potential electron donor to a number of redox enzymes (By similarity)	13	13
Acyltransferase	13	13
Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate (By similarity)	13	13
Catalyzes the excretion of spermidine (By similarity)	13	12
glycosyl transferase family	13	10
secreted protein	13	9
Transglycosylase SLT domain	13	8
Transcriptional Regulator, ArsR family	13	8
Transcriptional regulator (AraC family)	13	8
outer membrane protein x	13	7
Pts system fructose-specific	13	7
mannose-1-phosphate guanylyltransferase	13	6
cinA-like protein	13	6
once thought to export heme, this seems not to be the case, but its exact role is uncertain. Responsible for energy coupling to the transport system (By similarity)	13	5
major outer membrane lipoprotein	13	5
l-lactate permease	13	5
uncharacterized protein yiaF	13	5
Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA) (By similarity)	13	4
beta-lactamase domain protein	13	4
Beta-lactamase	13	4
glutaminase EC 3.5.1.2	13	3
Luciferase family	13	2
Nadh flavin oxidoreductase nadh oxidase	13	2
hydrolase, family 31	13	2
Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity (By similarity)	13	2
nad-dependent epimerase dehydratase	13	2
N-acetyltransferase	13	2
ATP-dependent DNA helicase RecQ	13	2
Serine transporter	13	2
Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body (By similarity)	13	2
Murein-degrading enzyme that degrades murein glycan strands and insoluble, high-molecular weight murein sacculi, with the concomitant formation of a 1,6-anhydromuramoyl product. Lytic transglycosylases (LTs) play an integral role in the metabolism of the peptidoglycan (PG) sacculus. Their lytic action creates space within the PG sacculus to allow for its expansion as well as for the insertion of various structures such as secretion systems and flagella (By similarity)	13	2
Positively regulates the transcription of the maltose regulon whose gene products are responsible for uptake and catabolism of malto-oligosaccharides. Binds and recognizes a DNA motif (called the malT box) 5'-GGA TG GA-3' (By similarity)	13	2
Flagellar hook-length control protein	13	2
PTS system mannose-specific transporter subunit IID	13	2
Involved in the transport of maltose and maltodextrins (By similarity)	13	2
hnh endonuclease	13	1
Fusaric acid resistance protein	13	1
Glycerol-3-phosphate regulon repressor	13	1
2,4-dienoyl-coA reductase	13	1
Indole-3-glycerol phosphate synthase	13	1
integral membrane protein TerC	13	1
GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)	13	1
Ribonuclease G	13	1
cellulose synthase	13	1
that is required for full activity and stability of the Y subunit. Could have a chaperone-like function for the proper and stable folding of	13	1
transcriptional regulator (AraC	13	1
TonB-dependent receptor	13	1
Intracellular protease, PfpI family	13	1
SUA5 YciO YrdC YwlC family protein	13	1
3-keto-L-gulonate-6-phosphate decarboxylase	13	1
Ammonium transporter	13	1
Catalyzes the synthesis of alpha-ribazole-5'-phosphate from nicotinate mononucleotide (NAMN) and 5,6- dimethylbenzimidazole (DMB) (By similarity)	13	1
(Type IV) pilus	13	1
anthranilate synthase component I	13	1
Catalyzes the aminotransferase reaction from putrescine to 2-oxoglutarate, leading to glutamate and 4-aminobutanal, which spontaneously cyclizes to form 1-pyrroline. Is also able to transaminate cadaverine and, in lower extent, spermidine, but not ornithine (By similarity)	13	1
Sodium:solute symporter family	13	1
succinyl-CoA synthetase subunit beta	13	1
efflux transporter, rnd family, mfp subunit	13	1
Multidrug efflux pump that functions probably as a Na( ) drug antiporter (By similarity)	13	1
allophanate hydrolase subunit 2	13	1
Serine protein kinase	13	0
drug resistance transporter Bcr CflA subfamily	13	0
May be involved in recombinational repair of damaged DNA (By similarity)	13	0
dihydroorotase	13	0
glucokinase (EC 2.7.1.2)	13	0
Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O (By similarity)	13	0
maltodextrin glucosidase	13	0
Involved in DNA repair and RecF pathway recombination (By similarity)	13	0
UPF0229 protein	13	0
RNA methyltransferase, TrmH family, group 1	13	0
Pyridoxal-phosphate dependent enzyme	13	0
RNA methyltransferase	13	0
bifunctional glutathionylspermidine amidase glutathionylspermidine synthetase	13	0
IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)	13	0
alpha helix protein	13	0
Inner membrane protein yjcH	13	0
