WORD	Ecoli	Not
1-carboxyvinyltransferase	9	0
dna-binding	9	0
uridylate	9	0
zipa	9	0
carboxyltransferase	9	0
s-adenosylmethionine	9	0
acid	8	12
biotin	8	10
transport	8	6
conserved	8	5
core	8	4
precursor	8	1
glycine--trna	8	0
shock	8	0
phenylalanine--trna	8	0
if-2	8	0
ribose-phosphate	8	0
ftsw	8	0
ftsq	8	0
glutaminyl-trna	8	0
glycyl-trna	8	0
tetraacyldisaccharide	8	0
phosphopantothenoylcysteine	8	0
iron-sulfur	8	0
heat	8	0
4-hydroxybenzoate	8	0
phosphopantetheine	8	0
diphosphate	7	13
chaperonin	7	11
methionyl-trna	7	8
lpta	7	2
10-methylene-tetrahydrofolate	7	0
holliday	7	0
valyl-trna	7	0
2-c-methyl-d-erythritol	7	0
atp-nad	7	0
ftsi	7	0
ftsy	7	0
atp-dependent	7	0
lolc	7	0
1-deoxy-d-xylulose-5-phosphate	7	0
leucyl-trna	7	0
tyrosyl-trna	7	0
glycoprotease	7	0
4-phosphate	7	0
4-dihydroxy-2-butanone	7	0
nusa	7	0
junction	7	0
mrec	7	0
alanyl-trna	7	0
ubiquinone	7	0
octaprenyltransferase	7	0
isoleucyl-trna	7	0
hydrolase	6	21
complex	6	8
terminal	6	5
periplasmic	6	2
ribd	6	2
sigma	6	2
asparaginyl-trna	6	2
coa-acyl	6	0
subunits	6	0
polyphosphate	6	0
insertion	6	0
single-stranded	6	0
udp-n-acetylmuramoylalanine--d-glutamate	6	0
roda	6	0
carboxy-lyase	6	0
o-acyltransferase	6	0
nucleotidohydrolase	6	0
lole	6	0
malonyl	6	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	6	0
membrane-specific	6	0
releasing	6	0
acetyl-coenzyme	6	0
topo	6	0
cycle	6	0
deoxyuridine	6	0
-triphosphate	6	0
transpeptidase	6	0
transacylase	6	0
metabolism	6	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine	6	0
threonylcarbamoyladenosine	5	5
protease	5	3
utilization	5	2
wall	5	2
msba	5	2
acetyl	5	1
sigma-70	5	0
antigen	5	0
condesin	5	0
inositol	5	0
insertase	5	0
resolvase	5	0
erpa	5	0
partition	5	0
n-acetylglucosamine	5	0
guanine-n	5	0
monophosphatase	5	0
1-acyl-sn-glycerol-3-phosphate	5	0
seryl-trna	5	0
6-diaminopimelate	5	0
chaperone	5	0
udp-n-acetylmuramate	5	0
cytidylyltransferase	4	7
bacteria	4	4
catalytic	4	4
protein-export	4	3
metalloprotease	4	3
abc-type	4	2
related	4	2
polyprenyl	4	2
regulator	4	2
superfamily	4	2
region	4	2
pyrimidine	4	2
flavoprotein	4	1
inner	4	1
4-dihydroxy-2-butanone-4-phosphate	4	0
glutamate--trna	4	0
glycosyl	4	0
rpod	4	0
threonine--trna	4	0
pp-loop	4	0
secd	4	0
leucine--trna	4	0
l10e	4	0
ftsb	4	0
proline--trna	4	0
penicillin	4	0
outer-membrane	4	0
lola	4	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	4	0
cgta	4	0
transketolase	4	0
dnac	4	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	4	0
ubib	4	0
glucosamine-1-phosphate	4	0
uncharacterised	4	0
ftsx-like	4	0
yaet	4	0
glutamyl-	4	0
serine--trna	4	0
valine--trna	4	0
threonyl-trna	4	0
emap	4	0
alanine	4	0
diphosphokinase	4	0
inositol-1-monophosphatase	4	0
pyrophosphoryl-undecaprenol	4	0
alanine--trna	4	0
asparagine--trna	4	0
methionine--trna	4	0
2c-methyl-d-erythritol	4	0
mononucleotide	4	0
grpe	4	0
proenzyme	4	0
groes	4	0
tyrosine--trna	4	0
udp-n-acetylmuramate--l-alanine	4	0
udp-n-acetylglucosamine--n-acetylmuramyl-	4	0
srp54-type	4	0
glutamine--trna	4	0
mukb	4	0
undecaprenyldiphospho-muramoylpentapeptide	4	0
ugmp	4	0
nicotinic	4	0
octaprenyl-diphosphate	4	0
with	4	0
partitioning	4	0
particle-docking	4	0
carboxypeptidase	4	0
isoleucine--trna	4	0
omega	4	0
septum	3	3
fused	3	3
modification	3	3
small	3	2
structural	3	2
acetyltransferase	3	1
protective	3	0
diaminohydroxyphosphoribosylaminopyrimidine	3	0
2-amino-4-hydroxy-6-hydroxymethyldihyropteridine	3	0
pantetheine-phosphate	3	0
-binding	3	0
abc1	3	0
condensin	3	0
5-amino-6-	3	0
uracil	3	0
phosphopantothenate	3	0
1-acylglycerol-3-phosphate	3	0
octaprenyl	3	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate	3	0
sugar	3	0
5-phosphoribosylamino	3	0
single-strand	3	0
nicotinate-nucleotide	3	0
glycine	3	0
synthesis	3	0
mukbef	3	0
oma87	3	0
glycine-trna	3	0
tetraacyldisaccharide-1-p	3	0
yeaz	3	0
cytochrome	2	11
oxidase	2	11
methionine	2	9
solvent	2	8
organic	2	8
tolerance	2	8
aminotransferase	2	7
uroporphyrinogen-iii	2	6
metallopeptidase	2	5
zinc	2	4
unknown	2	4
function	2	4
aspartyl	2	2
geranylgeranyl	2	2
ribosome-associated	2	2
formation	2	2
ethanolamine	2	2
barrel	2	2
yjgp	2	2
yjgq	2	2
site	2	2
permeases	2	2
possible	2	2
exporter	2	2
rnase	2	1
l30p	2	0
resistance	2	0
amidotransferase	2	0
exporters	2	0
nicotinamide	2	0
muke-like	2	0
flavodoxin-1	2	0
fold	2	0
hppk	2	0
propionyl-coa	2	0
localization	2	0
2-polyprenylphenol	2	0
60kd	2	0
3-polyprenyl-4-hydroxybenzoate	2	0
oxa1	2	0
l23e	2	0
substance	2	0
phosphoribulokinase	2	0
sec61-gamma	2	0
polyprenyltransferase	2	0
double-glycine	2	0
co-chaperonin	2	0
epsp	2	0
glutamyl-trnaglu	2	0
gtp1	2	0
acyl-carrier-protein	2	0
stabilizer	2	0
control	2	0
l17e	2	0
yqgf	2	0
udp-n-acetylmuramyl-tripeptide	2	0
endopeptidase	2	0
attachment	2	0
pathway	2	0
osta-like	2	0
l-carboxyvinyltransferase	2	0
accessory	2	0
yjee	2	0
dihydrofolate	2	0
enzymes	2	0
beta-n-	2	0
symporter	2	0
beta-n-acetylglucosaminyltransferase	2	0
hydratase	2	0
ftsh	2	0
traf	2	0
proteins	2	0
ygbb	2	0
translocation	2	0
lold	2	0
oxa1ec	2	0
s20e	2	0
guanine-n1	2	0
lantibiotic	2	0
solanesyl	2	0
epimerase	2	0
3-phosphoglycerate	2	0
beta-subunit	2	0
uridyltransferase	2	0
udp-n-acetylmuramate--alanine	2	0
rpb2	2	0
chromosome-related	2	0
archaeal	2	0
phosphoglucomutase	2	0
implicated	2	0
non-essential	2	0
c-terminus	2	0
l16p	2	0
acetylglucosaminyltransferase	2	0
ubid	2	0
ubia	2	0
folc	2	0
1-deoxyxylulose-5-phosphate	2	0
phosphoribosyl	2	0
upf0079	2	0
also	2	0
l18p	2	0
l18e	2	0
nucleotide	2	0
nicotinate	2	0
gtpases	2	0
saga	2	0
trna-	2	0
adenosyltransferase	2	0
histidinol-phosphatase	2	0
histone	2	0
sporulation	2	0
contain	2	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate--2	2	0
tfiid	2	0
cofactor	2	0
l14p	2	0
dipyromethane	2	0
di-trans	2	0
lipoprotein-sorting	2	0
killing	2	0
carbamoylphosphate	2	0
prokaryotic	2	0
taf12	2	0
poly-cis-decaprenylcistransferase	2	0
glutamine	2	0
o-sialoglycoprotein	2	0
dutp	2	0
bacteriocin	2	0
amino	2	0
daunorubicin	2	0
maintenance	2	0
carbon-nitrogen	2	0
cyclohydrolase-2	2	0
phosphoribosyltransferase	2	0
omp85	2	0
guanine-1	2	0
yidc	2	0
surface	2	0
resolvase-like	2	0
phosphopantothenate--cysteine	2	0
fatty	2	0
zn-finger	2	0
prenyltransferase	2	0
lptg	2	0
lptb	2	0
dnab-like	2	0
adp-binding	2	0
helix-destabilizing	2	0
decarboxylases	2	0
cpn10	2	0
carbamoyl-phosphate	2	0
l22p	2	0
upf0081	2	0
3-phosphoshikimate	2	0
diphosphatase	2	0
s10p	2	0
guanine	2	0
kicb	2	0
p-loop	2	0
penta	2	0
s24-like	2	0
zuotin	2	0
iron-sulphur	2	0
tetrahydrofolate	2	0
ftsz-binding	2	0
phenylalanine	2	0
s-malonyltransferase	2	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	2	0
lumazine	2	0
6-hydroxylase	2	0
stage	2	0
lysophospholipase	2	0
phosphopyruvate	2	0
nucleotide-binding	2	0
secretory	2	0
ribf	2	0
hflb	2	0
s14p	2	0
8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	2	0
uridine	2	0
cytidylate	2	0
istb-like	2	0
n-terminus	2	0
semialdehyde	2	0
glycosyltransferase	2	0
o-acyltransferases	2	0
dutpase	2	0
associated	2	0
s29e	2	0
universal	2	0
spase	2	0
flda	2	0
co-enzyme	2	0
dimerisation	2	0
pentapeptide	2	0
factors	2	0
phosphomannomutase	2	0
l-alanine-dl-glutamate	2	0
peptide	1	10
biogenesis	1	5
thiamine	1	3
-dependent	1	3
integral	1	3
motif	1	2
mrebcd	1	2
auxillary	1	1
groesl	1	1
secyeg	1	1
prime	1	1
transcriptional	1	1
flippase	1	1
bamabcde	1	1
l-glutamine	1	0
tsad	1	0
glucosamine--fructose-6-phosphate	1	0
1-acyl-glycerol-3-phosphate	1	0
calcium	1	0
ef-ts	1	0
2-amino-4-hydroxy-6-	1	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	1	0
sam-dependent	1	0
partioning	1	0
methyltransferase	1	0
nine	1	0
2-amino-4-hydroxy-6-hydroxymethyldihyropteridin	1	0
glmu	1	0
l-alanine	1	0
acetylcoa	1	0
hydroxymethyldihydropteridine	1	0
threonine	1	0
rrna-binding	1	0
repeats	1	0
6-dia	1	0
ptide	1	0
udp-3-o-acyl	1	0
ftsk	1	0
pd1-like	1	0
octaprenylphenol	1	0
glutamyl	1	0
receptor	1	0
tubulin-like	1	0
protoheme	1	0
pore-forming	1	0
n-acetyl	1	0
diacid	1	0
n-acetylglucosamine-1-phosphate	1	0
guanine-1-	1	0
zinc-metallo	1	0
obge	1	0
anchored	1	0
recruitment	1	0
binds	1	0
-n-acetyltransferase	1	0
fad-binding	1	0
phospho-n-acetylmuramoyl-pentapeptide	1	0
ferro-lyase	1	0
udp-3-o-	1	0
divisome	1	0
meso-diaminopimelate	1	0
deoxyuridinetriphosphatase	1	0
minopimelate	1	0
d-alanyl-d-alanine	1	0
fmn-binding	1	0
hexapeptide	1	0
carboxytransferase	1	0
phospho-n-acetylmuramoyl-pentapeptide-	1	0
diphosphorylase	1	0
glycation	1	0
dual	1	0
ring	1	0
phosphoribosylpyrophosphate	1	0
3-hydroxymyristoyl	1	0
n-acetyltransferase	1	0
asparaginyl	1	0
kleisin-like	1	0
partner	1	0
ef-g	1	0
-glucosamine	1	0
if2-alpha	1	0
septal	1	0
udp-n-acetylmuramoyl-tripeptide	1	0
hydroxymethylbilane	1	0
triphosphate-binding	1	0
d-fructose-6-phosphate	1	0
-phosphopantothenoylcysteine	1	0
p-hydroxybenzoate	1	0
d-glutamate	1	0
deacetylase	1	0
leader	1	0
repair	1	0
muke	1	0
fad-requiring	1	0
growth	1	0
n-acetylglucosaminyl	1	0
phosphatidylglycerol-prolipoprotein	1	0
hydroxylation	1	0
membrane-associated	1	0
udp-n-acetylmuramoyl-l-alanine	1	0
aldolase	0	18
primase	0	13
if-3	0	13
peptidyl-trna	0	13
ribonucleoside-diphosphate	0	13
dehydratase	0	12
ribosome	0	12
topological	0	11
carbonic	0	11
fructose-bisphosphate	0	11
specificity	0	11
anhydrase	0	11
racemase	0	11
aminopeptidase	0	11
ribonuclease	0	10
ftsl	0	10
lexa	0	10
formyltransferase	0	10
mreb	0	10
delta-aminolevulinic	0	10
glutamate-1-semialdehyde	0	9
repressor	0	9
4-hydroxy-3-methylbut-2-enyl	0	9
udp-2	0	9
3-diacylglucosamine	0	9
mred	0	9
release	0	9
recycling	0	9
3-deoxy-d-manno-octulosonic-acid	0	9
glutamate	0	9
arginyl-trna	0	7
tryptophanyl-trna	0	7
oligoribonuclease	0	7
mine	0	7
cysteinyl-trna	0	7
trna-specific	0	7
adenosine	0	7
thiamine-monophosphate	0	6
4-diphosphocytidyl-2-c-methyl-d-erythritol	0	6
cdp-diglyceride	0	6
histidyl-trna	0	6
ubiquinol	0	6
cdp-diacylglycerol--glycerol-3-phosphate	0	6
ribonucleotide	0	6
1-aminomutase	0	6
3-phosphatidyltransferase	0	6
nad-dependent	0	6
aspartyl-trna	0	5
rsep	0	5
geranyltranstransferase	0	5
ribonucleotide-diphosphate	0	5
exonuclease	0	5
secf	0	5
enga	0	5
2-dehydro-3-deoxyphosphooctonate	0	5
phosphatidate	0	5
yrdc	0	4
cysteine--trna	0	4
tryptophan--trna	0	4
ysxc	0	4
o-phosphatidyltransferase	0	4
cytidine	0	4
sua5	0	4
arginine--trna	0	4
lptf	0	4
rare	0	4
cpn60	0	4
histidine--trna	0	4
aspartate--trna	0	4
yfio	0	3
phosphatidylglycerophosphate	0	3
maturation	0	3
glutathione	0	3
mvin	0	3
cysteine	0	3
8-phosphate	0	3
monophosphate	0	3
groel	0	3
uroporphyrinogen	0	3
ghmp	0	2
-diphospho	0	2
thiol	0	2
hemd	0	2
cdp-alcohol	0	2
phosphatase	0	2
active	0	2
dahp	0	2
lptde	0	2
domains	0	2
ywlc	0	2
phosphodiesterase	0	2
ribosome-releasing	0	2
triphosphate	0	2
zinc-binding	0	2
-2-c-methyl-d-erythritol	0	2
xaa-pro	0	2
deoxycytidylate	0	2
3-deoxy-8-phosphooctulonate	0	2
nucleotidyl	0	2
grol	0	2
kinases	0	2
nad+	0	2
uptake	0	2
purn	0	2
tcp-1	0	2
adenylation	0	2
pcrf	0	2
hydantoin	0	2
determining	0	2
lipopolysaccharide-assembly	0	2
rpb1	0	2
3-methyladenine	0	2
glycosylase	0	2
liga	0	2
bisphosphate	0	2
components	0	2
reductant	0	2
-cyclic	0	2
formyl	0	2
enzyme	0	2
shape	0	2
rlpb	0	2
hydrogenase	0	2
phospholipase	0	2
rimn	0	2
nh3-dependent	0	2
xanthosine	0	2
lytb	0	2
heptaprenyl	0	2
farnesyl	0	2
ycio	0	2
engb	0	2
nucleotidase	0	2
bamd	0	2
lptd	0	2
cdp-diacylglycerol--serine	0	2
class-ii	0	2
phosphatidyltransferase	0	2
kdotransferase	0	2
murj	0	2
cydc	0	2
glutamate-1-semialdehyde-2	0	2
tagatose	0	2
phosphoribosylglycinamide	0	2
class-iii	0	2
mvin-like	0	2
multifunctional	0	2
3-deoxy-d-manno-octulosonic	0	2
biotin-requiring	0	2
calcineurin-like	0	2
folate-dependent	0	2
cdp-diacylglycerol-serine	0	2
osta	0	2
phosphoesterase	0	2
fructose	0	2
lps-assembly	0	2
histidyl	0	1
rsea	0	1
protoporphyrinogen	0	1
large	0	1
protoporphyrin	0	1
thioester	0	1
rpoe	0	1
fe2+	0	1
n-formyltransferase	0	1
glnb	0	1
10-formyltetrahydrofolate	0	1
pyrophosphohydrolase	0	1
4fe-4s	0	1
dehydrase	0	1
uridylyltransferase	0	1
regulon	0	1
ftsj	0	1
cleaved	0	1
threonine-dependent	0	1
bccp	0	1
aminomutase	0	1
-subunit	0	1
endoprotease	0	1
3-deoxy-d-manno-octulosonate	0	1
l-methionyl-trna	0	1
nucleotidyltransferase	0	1
adp-forming	0	1
degrading	0	1
bound	0	1
cardiolipin	0	1
poly	0	1
3-deoxy-7-phosphoheptulonate	0	1
zipper	0	1
suppressor	0	1
-hydroxymyristol	0	1
rf-1	0	1
yadf	0	1
actin-like	0	1
ferritin-like	0	1
beta-barrel	0	1
glutamine-dependent	0	1
head	0	1
activator	0	1
5-aminolevulinate	0	1
leucine	0	1
4-diphosphocytidyl-2-c-methylerythritol	0	1
beta-hydroxydecanoyl	0	1
multicopy	0	1
fmet	0	1
SUM	6171	2216
