WORD	Salmonellacitrobacter	Not
ribosome	0	6
guanosine-3	0	6
groel	0	6
peptidyl-trna	0	6
arginyl-trna	0	6
3-methyltransferase	0	6
-hydroxymyristol	0	6
fructose	0	6
aspartyl-trna	0	6
virulence	0	6
4-diphosphocytidyl-2-c-methyl-d-erythritol	0	5
p15b	0	5
4-hydroxy-3-methylbut-2-en-1-yl	0	5
-pyrophosphohydrolase	0	5
5-methylaminomethyl-2-thiouridylate	0	5
site	0	5
dehydrase	0	5
lysyl-trna	0	4
rimm	0	4
rf-1	0	4
chaperone	0	3
lysyl	0	3
lysrs	0	2
isopentenyl	0	2
enga	0	2
gcpe	0	2
lipopolysaccharide	0	2
4-benzoquinol	0	1
2-oxoglutarate	0	1
repressor	0	1
4-hydroxy-3-methylbut-2-enyl	0	1
asprs	0	1
pyrophosphohydrolase	0	1
udp-2	0	1
3-diacylglucosamine	0	1
dhhb	0	1
gtpase	0	1
pyruvate	0	1
fructose-bisphosphate	0	1
succinyldiaminopimelate	0	1
dhdps	0	1
dihydrolipoyl	0	1
class	0	1
2-octaprenyl-3-methyl-6-methoxy-1	0	1
trna-specific	0	1
cdp-diacylglycerol--glycerol-3-phosphate	0	1
operon	0	1
3-phosphatidyltransferase	0	1
hisrs	0	1
complexes	0	1
trna-modifying	0	1
gtp-ch-i	0	1
adenosine	0	1
argrs	0	1
kdops	0	1
SUM	3583	1708
