WORD	Klebsiella	Not
iron-sulfur	1	0
apolipoprotein	1	0
00598	1	0
inner	1	0
transacylase	1	0
isoleucyl-trna	1	0
1-carboxyvinyltransferase	1	0
isomerizing	1	0
msba	1	0
phosphopantothenate--cysteine	1	0
02550	1	0
4-hydroxybenzoate	1	0
pantothenate	1	0
03446	1	0
methenyltetrahydrofolate	1	0
01776	1	0
guanylate	1	0
diphosphorylase	1	0
prolipoprotein	1	0
grpe	1	0
ribonuclease	0	9
diphosphate	0	5
component	0	4
repressor	0	4
phage	0	3
regulator	0	3
cytidylyltransferase	0	3
heptosyltransferase	0	2
aldolase	0	2
dihydrodipicolinate	0	2
seca	0	2
dehydratase	0	2
nad-dependent	0	2
serine	0	2
4-hydroxy-3-methylbut-2-en-1-yl	0	2
hydrolase	0	2
isomerase	0	2
primosomal	0	2
ribosome	0	2
beta-hydroxyacyl-	0	2
ribonucleoside-diphosphate	0	2
bifunctional	0	2
chaperone	0	2
sulfurtransferase	0	2
chain	0	1
yfio	0	1
rsep	0	1
03989	0	1
ycio	0	1
tuse	0	1
3-deoxy-d-manno-octulosonic-acid	0	1
tusb	0	1
tusc	0	1
00856	0	1
00857	0	1
00858	0	1
01850	0	1
02831	0	1
02036	0	1
00412	0	1
protoporphyrinogen	0	1
01150	0	1
succinyl-transferring	0	1
acid	0	1
uroporphyrinogen-iii	0	1
02359	0	1
03115	0	1
-bis	0	1
04086	0	1
scaffold	0	1
bira	0	1
ygfz	0	1
01633	0	1
04434	0	1
00581	0	1
05001	0	1
rpoe	0	1
rpoh	0	1
methyltransferase	0	1
01025	0	1
03938	0	1
01746	0	1
02349	0	1
relay	0	1
2-c-methyl-d-erythritol	0	1
tusd	0	1
primase	0	1
05453	0	1
arginyl-trna	0	1
01551	0	1
02072	0	1
udp-2	0	1
3-diacylglucosamine	0	1
02146	0	1
4-hydroxy-3-methylbut-2-enyl	0	1
4-diphosphocytidyl-2c-methyl-d-erythritol	0	1
topological	0	1
01801	0	1
3-deoxy-8-phosphooctulonate	0	1
4-epimerase	0	1
dsrf	0	1
01164	0	1
03774	0	1
if-3	0	1
00626	0	1
03102	0	1
secb	0	1
nad+	0	1
n-succinyltransferase	0	1
cysteinyl-trna	0	1
01816	0	1
dihydroneopterin	0	1
00600	0	1
03962	0	1
00605	0	1
00608	0	1
oxoglutarate	0	1
gtpase	0	1
00015	0	1
ftsl	0	1
04438	0	1
2-octaprenyl-6-methoxyphenol	0	1
00351	0	1
dihydrolipoamide	0	1
galacturonate	0	1
00615	0	1
04251	0	1
lysyl-trna	0	1
3-o-methyltransferase	0	1
5-tetrahydropyridine-2	0	1
small	0	1
regulatory	0	1
histidyl-trna	0	1
03609	0	1
01337	0	1
mvin	0	1
00889	0	1
02536	0	1
fructose-bisphosphate	0	1
03560	0	1
03567	0	1
02535	0	1
specificity	0	1
02531	0	1
02530	0	1
00039	0	1
00054	0	1
00055	0	1
04346	0	1
shock	0	1
subunit-dependent	0	1
03425	0	1
cysteine	0	1
03936	0	1
ubie	0	1
03467	0	1
lipoic	0	1
00942	0	1
mine	0	1
00947	0	1
05360	0	1
02711	0	1
03176	0	1
3-deoxy-d-manno-octulosonate	0	1
02719	0	1
01830	0	1
01836	0	1
02306	0	1
02387	0	1
6-dehydrogenase	0	1
hipb	0	1
03665	0	1
succinyl-diaminopimelate	0	1
00949	0	1
giyceraldehyde-3-phosphate	0	1
02832	0	1
02833	0	1
02576	0	1
02570	0	1
desuccinylase	0	1
02375	0	1
00875	0	1
metalloprotease	0	1
sulfur	0	1
peptide	0	1
inactivator	0	1
01903	0	1
01712	0	1
00614	0	1
00616	0	1
00758	0	1
release	0	1
01432	0	1
o-acetyltransferase	0	1
alternative	0	1
02458	0	1
6-dicarboxylate	0	1
phosphoheptose	0	1
04431	0	1
isocitrate	0	1
00876	0	1
00325	0	1
04281	0	1
rimm	0	1
oxidase	0	1
03937	0	1
03557	0	1
01132	0	1
glycosyl	0	1
tigr00043	0	1
recycling	0	1
menaquinone	0	1
carbon	0	1
sua5	0	1
03611	0	1
02424	0	1
3-demethylubiquinone-9	0	1
racemase	0	1
01345	0	1
03614	0	1
05505	0	1
nusb	0	1
02527	0	1
02520	0	1
nadp-dependent	0	1
cdp-diacylglycerol--glycerol-3-phosphate	0	1
6-epimerase	0	1
00898	0	1
group	0	1
5-methylaminomethyl-2-thiouridylate	0	1
enga	0	1
engb	0	1
00625	0	1
00627	0	1
phosphorylating	0	1
adenylosuccinate	0	1
hlde	0	1
fabz	0	1
faba	0	1
03821	0	1
iscu	0	1
iscs	0	1
00071	0	1
01133	0	1
hydroxylase	0	1
01323	0	1
04273	0	1
03104	0	1
mreb	0	1
mred	0	1
01821	0	1
adp-glyceromanno-heptose	0	1
guanosine-3	0	1
l25p	0	1
01146	0	1
04087	0	1
01144	0	1
succinyltransferase	0	1
ubiquinone	0	1
hydroxymethyltransferase	0	1
rrna	0	1
03433	0	1
ywlc	0	1
03126	0	1
04494	0	1
04493	0	1
00903	0	1
dnak	0	1
3-phosphatidyltransferase	0	1
01311	0	1
dihydrolipoyllysine-residue	0	1
ribosome-binding	0	1
01726	0	1
lipoyltransferase	0	1
aspartyl-trna	0	1
lyase	0	1
02290	0	1
core	0	1
processing	0	1
tetratricopeptide	0	1
peptidyl-trna	0	1
rare	0	1
01831	0	1
phosphatidate	0	1
trna-modifying	0	1
00968	0	1
integral	0	1
00352	0	1
multifunctional	0	1
yrdc	0	1
02148	0	1
lexa	0	1
uridine	0	1
epsilon	0	1
peptidylprolyl	0	1
cytidylate	0	1
udp-glucose	0	1
03760	0	1
03767	0	1
03483	0	1
transcriptional	0	1
desulfurase	0	1
glutamate	0	1
rfag	0	1
00074	0	1
secf	0	1
storage	0	1
04426	0	1
formyltransferase	0	1
repeat	0	1
lps-assembly	0	1
uroporphyrinogen	0	1
-diphosphatase	0	1
lyss	0	1
SUM	1410	1038
