WORD	Klebsiellaenterobacter	Not
phosphopantothenate-cysteine	1	0
03575	1	0
02528	1	0
coa-acyl	1	0
02835	1	0
00859	1	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridi	1	0
00583	1	0
02035	1	0
00999	1	0
shock	1	0
nicotinamide	1	0
01154	1	0
aspartate	1	0
diaminohydroxyphosphoribosylaminopyrimidine	1	0
02097	1	0
02074	1	0
pantetheine-phosphate	1	0
03426	1	0
oxaa	1	0
03591	1	0
00988	1	0
00987	1	0
02355	1	0
2-polyprenylphenol	1	0
d-transpeptidase	1	0
guanine37-n	1	0
01632	1	0
holo-	1	0
precursor	1	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	1	0
s11p	1	0
6-bisphosphatase	1	0
02810	1	0
lipopolysaccharide-binding	1	0
01024	1	0
-kinase	1	0
01023	1	0
if-2	1	0
if-1	1	0
inositol	1	0
co-chaperonin	1	0
l12p	1	0
02432	1	0
02430	1	0
02431	1	0
type	1	0
02437	1	0
02434	1	0
02435	1	0
00891	1	0
binding	1	0
05459	1	0
04699	1	0
05455	1	0
01550	1	0
00468	1	0
uncharacterized	1	0
l19p	1	0
nine	1	0
02723	1	0
00786	1	0
aspartate-semialdehyde	1	0
penicillin-binding	1	0
01552	1	0
01803	1	0
udp-n-acetylmuramyl-tripeptide	1	0
01809	1	0
atpase	1	0
pentape	1	0
l27p	1	0
03109	1	0
03108	1	0
gros	1	0
l16p	1	0
uracil	1	0
enzymes	1	0
carboxy-lyase	1	0
02427	1	0
02426	1	0
geranylgeranyl	1	0
n-terminal	1	0
metallopeptidase	1	0
l15p	1	0
01707	1	0
01706	1	0
beta-n-acetylglucosaminyltransferase	1	0
proteases	1	0
chaperonin	1	0
00603	1	0
ptide	1	0
gtpase	1	0
00755	1	0
nadh	1	0
hydratase	1	0
ftsh	1	0
02534	1	0
ftsq	1	0
phosphopantethiene--protein	1	0
01011	1	0
01013	1	0
02443	1	0
l20p	1	0
00869	1	0
00867	1	0
00866	1	0
undecaprenyl	1	0
related	1	0
00860	1	0
nucleotidohydrolase	1	0
03569	1	0
03568	1	0
lole	1	0
lold	1	0
02008	1	0
udp-n-acetylmuramoylalanyl-d-glutamate--2	1	0
guanine-n1	1	0
undecaprenyldiphospho-muramoylpentapeptide	1	0
03143	1	0
00025	1	0
porphobilinogen	1	0
03148	1	0
02145	1	0
02543	1	0
02540	1	0
glutamine--fructose-6-phosphate	1	0
udp-n-acetylmuramate--alanine	1	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	1	0
pyrophosphatase	1	0
archaeal	1	0
02149	1	0
00885	1	0
00884	1	0
00887	1	0
00886	1	0
00881	1	0
00880	1	0
00883	1	0
00882	1	0
02532	1	0
02537	1	0
single-stranded	1	0
00050	1	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	1	0
00597	1	0
polyprenyl	1	0
04342	1	0
methylenetetrahydrofolate	1	0
01753	1	0
03429	1	0
03939	1	0
01822	1	0
hydroxymethylbilane	1	0
lipoprotein-releasing	1	0
00471	1	0
00473	1	0
00967	1	0
01288	1	0
s16p	1	0
septal	1	0
02710	1	0
02717	1	0
pyrophosphorylase	1	0
02718	1	0
l18p	1	0
glutamine-fructose-6-phosphate	1	0
01833	1	0
01832	1	0
01835	1	0
nucleotide	1	0
octaprenyl-diphosphate	1	0
nicotinate	1	0
01172	1	0
00873	1	0
01171	1	0
duplication	1	0
02357	1	0
02356	1	0
03116	1	0
03114	1	0
01001	1	0
03113	1	0
aspartic	1	0
01536	1	0
01537	1	0
sugar	1	0
03592	1	0
03593	1	0
hsp10	1	0
ef-ts	1	0
01901	1	0
01900	1	0
01713	1	0
01710	1	0
01711	1	0
01714	1	0
prime	1	0
fructose-1	1	0
02289	1	0
00022	1	0
00020	1	0
l24p	1	0
release	1	0
03873	1	0
03874	1	0
00878	1	0
metal-dependent	1	0
01820	1	0
01005	1	0
01002	1	0
01003	1	0
5-phosphoribosylamino	1	0
l14p	1	0
00872	1	0
di-trans	1	0
00879	1	0
04430	1	0
04432	1	0
04433	1	0
00870	1	0
00871	1	0
enolase	1	0
inositol-1-monophosphatase	1	0
00874	1	0
00877	1	0
pyrophosphoryl-undecaprenol	1	0
single-strand	1	0
00448	1	0
nadp+	1	0
poly-cis-decaprenylcistransferase	1	0
01131	1	0
01134	1	0
folylpolyglutamate	1	0
ef-g	1	0
03403	1	0
dutp	1	0
loader	1	0
nicotinate-nucleotide	1	0
00941	1	0
hydrolase	1	0
l21p	1	0
02524	1	0
02525	1	0
02526	1	0
ef-2	1	0
00656	1	0
00657	1	0
03574	1	0
00449	1	0
02483	1	0
02529	1	0
00890	1	0
00470	1	0
enoyl-	1	0
yidc	1	0
l17p	1	0
bif-1	1	0
bif-2	1	0
5-amino-6-	1	0
05444	1	0
03820	1	0
l10p	1	0
03829	1	0
s26a	1	0
synthetases	1	0
malonyl	1	0
-triphosphate	1	0
04672	1	0
lpta	1	0
03438	1	0
04019	1	0
03412	1	0
monophosphatase	1	0
l22p	1	0
inactive	1	0
01828	1	0
01829	1	0
01431	1	0
01281	1	0
permeases	1	0
udp-n-acetylmuramate--l-alanine	1	0
catalytic	1	0
03410	1	0
02809	1	0
organellar	1	0
03439	1	0
tigr00150	1	0
groes	1	0
03430	1	0
n-acetylglucosamine	1	0
03437	1	0
03124	1	0
04497	1	0
04495	1	0
04492	1	0
udp-n-acetylglucosamine--n-acetylmuramyl-	1	0
04498	1	0
01310	1	0
tetraacyldisaccharide	1	0
2-octaprenylphenol	1	0
01918	1	0
tetrahydrofolate	1	0
01911	1	0
dna-binding	1	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	1	0
02512	1	0
udp-n-acetylenolpyruvoylglucosamine	1	0
03570	1	0
03866	1	0
uridylate	1	0
6-hydroxylase	1	0
co-chaperone	1	0
ser-trna	1	0
6-diaminopimelate	1	0
phosphopyruvate	1	0
nucleotide-binding	1	0
unclassified	1	0
02428	1	0
octaprenyltransferase	1	0
s19p	1	0
02425	1	0
ribd	1	0
gamma	1	0
ribf	1	0
hflb	1	0
protease	1	0
02429	1	0
division-specific	1	0
s14p	1	0
muke	1	0
3-octaprenyl-4hydroxybenzoate	1	0
00868	1	0
long	1	0
00598	1	0
inner	1	0
transacylase	1	0
heat	1	0
00861	1	0
isomerizing	1	0
partitioning	1	0
02436	1	0
l13p	1	0
semialdehyde	1	0
glycosyltransferase	1	0
particle-docking	1	0
phosphopantothenate--cysteine	1	0
02550	1	0
glycoprotease	1	0
phosphopantetheine	1	0
03446	1	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine	1	0
10-methylenetetrahydrofolate	1	0
01776	1	0
homolog	1	0
deoxyuridine	1	0
02539	1	0
diphosphorylase	1	0
udp-n-acetylmuramate	1	0
relay	0	5
sulfur	0	5
dihydrodipicolinate	0	4
isomerase	0	4
cytidylyltransferase	0	4
repressor	0	3
seca	0	3
primosomal	0	3
yfio	0	2
rsep	0	2
tusd	0	2
tuse	0	2
tusb	0	2
tusc	0	2
heptosyltransferase	0	2
ribonuclease	0	2
rpoe	0	2
rpoh	0	2
aldolase	0	2
2-c-methyl-d-erythritol	0	2
topological	0	2
dsrf	0	2
secb	0	2
n-succinyltransferase	0	2
cysteinyl-trna	0	2
dihydroneopterin	0	2
diphosphate	0	2
ftsl	0	2
2-octaprenyl-6-methoxyphenol	0	2
dihydrolipoamide	0	2
5-tetrahydropyridine-2	0	2
specificity	0	2
sos-response	0	2
4-hydroxy-3-methylbut-2-en-1-yl	0	2
cysteine	0	2
mine	0	2
3-deoxy-d-manno-octulosonate	0	2
desuccinylase	0	2
metalloprotease	0	2
o-acetyltransferase	0	2
6-dicarboxylate	0	2
phosphoheptose	0	2
isocitrate	0	2
rimm	0	2
menaquinone	0	2
5-methylaminomethyl-2-thiouridylate	0	2
adenylosuccinate	0	2
iscs	0	2
tigr00043	0	2
l25p	0	2
ubiquinone	0	2
hydroxymethyltransferase	0	2
rrna	0	2
dnak	0	2
ribosome-binding	0	2
lyase	0	2
processing	0	2
lexa	0	2
ribonucleoside-diphosphate	0	2
epsilon	0	2
cytidylate	0	2
transcriptional	0	2
desulfurase	0	2
sulfurtransferase	0	2
uroporphyrinogen	0	2
d-alpha	0	1
pria	0	1
03989	0	1
2-octaprenyl-3-methyl-6-methoxy-1	0	1
00856	0	1
00857	0	1
00858	0	1
rnase	0	1
01850	0	1
lipoic	0	1
01150	0	1
00054	0	1
glyceraldehyde-3-phosphate	0	1
phage	0	1
succinyl-transferring	0	1
acid	0	1
dsvc	0	1
02570	0	1
adp-l-glycero-d-manno-heptose-6-epimerase	0	1
00626	0	1
d-beta-d-heptose	0	1
4-benzoquinol	0	1
01025	0	1
01746	0	1
02072	0	1
02146	0	1
01801	0	1
dsrc	0	1
dsre	0	1
03774	0	1
dsrh	0	1
s15p	0	1
03102	0	1
02424	0	1
03962	0	1
oxoglutarate	0	1
00015	0	1
restart	0	1
beta-d-heptose	0	1
nadp	0	1
00039	0	1
01551	0	1
-butenyl	0	1
02349	0	1
03609	0	1
s21p	0	1
02531	0	1
03176	0	1
04346	0	1
1-phosphate	0	1
03425	0	1
ubie	0	1
00942	0	1
nad-dependent	0	1
01830	0	1
class	0	1
lipoate-protein	0	1
03665	0	1
succinyl-diaminopimelate	0	1
l11p	0	1
giyceraldehyde-3-phosphate	0	1
02832	0	1
02833	0	1
02576	0	1
02375	0	1
2-oxoglutarate	0	1
00875	0	1
01903	0	1
01712	0	1
00614	0	1
00616	0	1
00758	0	1
lipoate	0	1
01432	0	1
succinyldiaminopimelate	0	1
alternative	0	1
02458	0	1
00876	0	1
sigma-24	0	1
03936	0	1
01133	0	1
1-kinase	0	1
4-diphosphate	0	1
nadp-dependent	0	1
7-phosphate	0	1
6-epimerase	0	1
methyltransferases	0	1
00625	0	1
00627	0	1
phosphorylating	0	1
hlde	0	1
autopeptidases	0	1
1-hydroxy-2-methyl-2-	0	1
01323	0	1
03104	0	1
cis-trans	0	1
adp-glyceromanno-heptose	0	1
03611	0	1
03614	0	1
reca-mediated	0	1
01144	0	1
succinyltransferase	0	1
03433	0	1
03126	0	1
dihydrolipoyllysine-residue	0	1
01726	0	1
lipoyltransferase	0	1
-cyclophilin	0	1
02290	0	1
glycerol	0	1
repressors	0	1
01831	0	1
00968	0	1
00352	0	1
peptidyl-prolyl	0	1
l29p	0	1
rotamase	0	1
peptidylprolyl	0	1
bifunctional	0	1
03767	0	1
03483	0	1
3-phosphate	0	1
02520	0	1
SUM	2005	710
