WORD	Salmonellaecolicitrobacter	Not
udp-n-acetylmuramoylalanyl-d-glutamate--2	11	0
proenzyme	11	0
groes	11	0
octaprenyl-diphosphate	11	0
msba	11	0
omega	11	0
protein-export	10	9
uncharacterized	10	4
3-octaprenyl-4-hydroxybenzoate	10	0
phosphoglucosamine	10	0
holliday	10	0
-lysidine	10	0
secd	10	0
secy	10	0
threonyl-trna	10	0
n-acetylglucosamine	10	0
cluster	10	0
junction	10	0
grpe	10	0
mutase	10	0
udp-n-acetylmuramate	10	0
bacterial	9	2
udp-n-acetylmuramoylalanine--d-glutamate	9	0
if-2	9	0
phospho-n-acetylmuramoyl-pentapeptide-transferase	9	0
dnaa	9	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine	9	0
1-deoxyxylulose-5-phosphate	9	0
octaprenyl	9	0
alanine	9	0
single-strand	9	0
aminotransferase	9	0
nusg	9	0
middle	9	0
zipa	9	0
carboxyltransferase	9	0
acid	8	19
chaperonin	8	12
core	8	4
possible	8	2
glycine--trna	8	0
glucosamine--fructose-6-phosphate	8	0
1-acyl-glycerol-3-phosphate	8	0
phenylalanine--trna	8	0
guanine-n1	8	0
resolvase	8	0
partition	8	0
killing	8	0
pyrophosphoryl-undecaprenol	8	0
kicb	8	0
glycyl-trna	8	0
octaprenyltransferase	8	0
phosphopantothenoylcysteine	8	0
ribf	8	0
iron-sulfur	8	0
hydrolase	7	28
diphosphate	7	10
lpta	7	2
10-methylene-tetrahydrofolate	7	0
polyphosphate	7	0
single-stranded	7	0
methyltransferase	7	0
carboxy-lyase	7	0
atp-nad	7	0
ftsi	7	0
ftsy	7	0
atp-dependent	7	0
outer-membrane	7	0
lolc	7	0
1-deoxy-d-xylulose-5-phosphate	7	0
nusa	7	0
2c-methyl-d-erythritol	7	0
mrec	7	0
udp-n-acetylglucosamine--n-acetylmuramyl-	7	0
complex	6	6
periplasmic	6	2
terminal	6	2
suppressor	6	1
subunits	6	0
alanyl	6	0
chloroplast	6	0
insertion	6	0
pmm-family	6	0
6-dia	6	0
nopimelate--d-alan	6	0
ftsb	6	0
o-acyltransferase	6	0
lole	6	0
mesj	6	0
pyrophosphorylase	6	0
sigma	6	0
extragenic	6	0
membrane-specific	6	0
guanine-n	6	0
releasing	6	0
suhb	6	0
topo	6	0
kica	6	0
udp-n-acetylmuramate--l-alanine	6	0
transpeptidase	6	0
uridine	6	0
metabolism	6	0
udp-n-acetylmuramoylalanyl-d-glutamyl-2	6	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-alanine	6	0
threonylcarbamoyladenosine	5	5
utilization	5	2
region	5	2
wall	5	2
antigen	5	0
fold	5	0
condesin	5	0
inositol	5	0
insertase	5	0
erpa	5	0
hsp24	5	0
inositol-1-monophosphatase	5	0
acetyl	5	0
monophosphatase	5	0
1-acyl-sn-glycerol-3-phosphate	5	0
d-glutamate	5	0
6-diaminopimelate	5	0
protease	5	0
chaperone	5	0
udp-n-acetylmuramoyl-l-alanine	5	0
pentapeptide	5	0
solvent	4	15
organic	4	15
tolerance	4	15
cytidylyltransferase	4	14
bacteria	4	4
superfamily	4	2
catalytic	4	2
pyrimidine	4	2
flavoprotein	4	1
4-dihydroxy-2-butanone-4-phosphate	4	0
glutamate--trna	4	0
glycosyl	4	0
phospho-n-acetylmuramoyl-pentapeptide-transfera	4	0
rpod	4	0
threonine--trna	4	0
abc-type	4	0
pp-loop	4	0
leucine--trna	4	0
l10e	4	0
proline--trna	4	0
related	4	0
penicillin	4	0
lola	4	0
cgta	4	0
transketolase	4	0
polyprenyl	4	0
6-diami	4	0
dnac	4	0
regulator	4	0
ubib	4	0
glucosamine-1-phosphate	4	0
uncharacterised	4	0
ftsx-like	4	0
yaet	4	0
glutamyl-	4	0
metalloprotease	4	0
serine--trna	4	0
valine--trna	4	0
emap	4	0
minopim	4	0
diphosphokinase	4	0
minopimelate	4	0
alanine--trna	4	0
nicotinate-nucleotide	4	0
asparagine--trna	4	0
methionine--trna	4	0
mononucleotide	4	0
tyrosine--trna	4	0
srp54-type	4	0
glutamine--trna	4	0
mukb	4	0
undecaprenyldiphospho-muramoylpentapeptide	4	0
homolog	4	0
ugmp	4	0
nicotinic	4	0
with	4	0
partitioning	4	0
particle-docking	4	0
carboxypeptidase	4	0
isoleucine--trna	4	0
n-acetylmuramyl-	4	0
modification	3	3
structural	3	2
acetyltransferase	3	1
fused	3	1
protective	3	0
small	3	0
diaminohydroxyphosphoribosylaminopyrimidine	3	0
2-amino-4-hydroxy-6-hydroxymethyldihyropteridine	3	0
pantetheine-phosphate	3	0
-binding	3	0
septum	3	0
endopeptidase	3	0
l-carboxyvinyltransferase	3	0
abc1	3	0
condensin	3	0
5-amino-6-	3	0
uracil	3	0
methylenetetrahydrofolate	3	0
phosphopantothenate	3	0
1-acylglycerol-3-phosphate	3	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate	3	0
sugar	3	0
5-phosphoribosylamino	3	0
o-sialoglycoprotein	3	0
cpn10	3	0
glycine	3	0
penta	3	0
methenyltetrahydrofolate	3	0
udp-n-acetylmuramoyl-tripeptide--d-alanyl-d-ala	3	0
synthesis	3	0
mukbef	3	0
oma87	3	0
-monophosphate	3	0
tetraacyldisaccharide-1-p	3	0
yeaz	3	0
peptide	2	16
methionine	2	16
oxidase	2	9
rnase	2	7
uroporphyrinogen-iii	2	6
unknown	2	4
function	2	4
aspartyl	2	2
ribosome-associated	2	2
ethanolamine	2	2
yjgp	2	2
yjgq	2	2
site	2	2
metallopeptidase	2	2
permeases	2	2
l30p	2	0
resistance	2	0
zinc	2	0
amidotransferase	2	0
cytochrome	2	0
exporters	2	0
nicotinamide	2	0
muke-like	2	0
flavodoxin-1	2	0
hppk	2	0
propionyl-coa	2	0
localization	2	0
2-polyprenylphenol	2	0
ef-ts	2	0
60kd	2	0
6-di	2	0
3-polyprenyl-4-hydroxybenzoate	2	0
oxa1	2	0
l23e	2	0
2-amino-4-hydroxy-6-	2	0
substance	2	0
phosphoribulokinase	2	0
sec61-gamma	2	0
polyprenyltransferase	2	0
double-glycine	2	0
co-chaperonin	2	0
epsp	2	0
glutamyl-trnaglu	2	0
gtp1	2	0
acyl-carrier-protein	2	0
nine	2	0
stabilizer	2	0
control	2	0
l17e	2	0
yqgf	2	0
udp-n-acetylmuramyl-tripeptide	2	0
attachment	2	0
pathway	2	0
osta-like	2	0
hydroxymethyldihydropteridine	2	0
6-diam	2	0
accessory	2	0
yjee	2	0
dihydrofolate	2	0
enzymes	2	0
geranylgeranyl	2	0
beta-n-	2	0
symporter	2	0
beta-n-acetylglucosaminyltransferase	2	0
hydratase	2	0
ftsh	2	0
traf	2	0
proteins	2	0
ygbb	2	0
translocation	2	0
lold	2	0
oxa1ec	2	0
s20e	2	0
lantibiotic	2	0
solanesyl	2	0
formation	2	0
epimerase	2	0
3-phosphoglycerate	2	0
uridyltransferase	2	0
udp-n-acetylmuramate--alanine	2	0
rpb2	2	0
chromosome-related	2	0
archaeal	2	0
phosphoglucomutase	2	0
implicated	2	0
non-essential	2	0
c-terminus	2	0
l16p	2	0
acetylglucosaminyltransferase	2	0
ubid	2	0
ubia	2	0
folc	2	0
phosphoribosyl	2	0
upf0079	2	0
also	2	0
l18p	2	0
phers	2	0
l18e	2	0
nucleotide	2	0
nicotinate	2	0
gtpases	2	0
barrel	2	0
saga	2	0
trna-	2	0
adenosyltransferase	2	0
histidinol-phosphatase	2	0
histone	2	0
sporulation	2	0
contain	2	0
udp-n-acetylmuramoyl-l-alanyl-d-glutamate--2	2	0
tfiid	2	0
cofactor	2	0
l14p	2	0
dipyromethane	2	0
di-trans	2	0
lipoprotein-sorting	2	0
carbamoylphosphate	2	0
prokaryotic	2	0
taf12	2	0
poly-cis-decaprenylcistransferase	2	0
glutamine	2	0
dutp	2	0
bacteriocin	2	0
amino	2	0
phospho-n-acetylmuramoyl-pentapeptide-	2	0
daunorubicin	2	0
maintenance	2	0
carbon-nitrogen	2	0
cyclohydrolase-2	2	0
phosphoribosyltransferase	2	0
omp85	2	0
guanine-1	2	0
yidc	2	0
surface	2	0
resolvase-like	2	0
phosphopantothenate--cysteine	2	0
fatty	2	0
zn-finger	2	0
prenyltransferase	2	0
lptg	2	0
lptb	2	0
dnab-like	2	0
adp-binding	2	0
helix-destabilizing	2	0
decarboxylases	2	0
carbamoyl-phosphate	2	0
l22p	2	0
upf0081	2	0
3-phosphoshikimate	2	0
diphosphatase	2	0
s10p	2	0
guanine	2	0
p-loop	2	0
s24-like	2	0
zuotin	2	0
iron-sulphur	2	0
tetrahydrofolate	2	0
ftsz-binding	2	0
phenylalanine	2	0
s-malonyltransferase	2	0
lumazine	2	0
deacetylase	2	0
6-hydroxylase	2	0
stage	2	0
lysophospholipase	2	0
phosphopyruvate	2	0
nucleotide-binding	2	0
secretory	2	0
hflb	2	0
s14p	2	0
exporter	2	0
8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	2	0
cytidylate	2	0
istb-like	2	0
n-terminus	2	0
semialdehyde	2	0
glycosyltransferase	2	0
o-acyltransferases	2	0
dutpase	2	0
associated	2	0
s29e	2	0
universal	2	0
spase	2	0
flda	2	0
co-enzyme	2	0
includes	2	0
dimerisation	2	0
factors	2	0
phosphomannomutase	2	0
l-alanine-dl-glutamate	2	0
-dependent	1	3
biogenesis	1	2
motif	1	2
monophosphate	1	2
mrebcd	1	2
groesl	1	1
secyeg	1	1
prime	1	1
flippase	1	1
auxillary	1	1
l-glutamine	1	0
tsad	1	0
calcium	1	0
sam-dependent	1	0
metrs	1	0
partioning	1	0
thiamine	1	0
exported	1	0
udp-3-o-acyl-glcnac	1	0
2-amino-4-hydroxy-6-hydroxymethyldihyropteridin	1	0
glmu	1	0
l-alanine	1	0
acetylcoa	1	0
tide	1	0
threonine	1	0
thrrs	1	0
rrna-binding	1	0
repeats	1	0
2-amino-4-hydroxy-6-hydroxymethyldihydropteridi	1	0
ptide	1	0
udp-3-o-acyl	1	0
ftsk	1	0
pd1-like	1	0
octaprenylphenol	1	0
glutamyl	1	0
receptor	1	0
tubulin-like	1	0
protoheme	1	0
2-phospho-d-glycerate	1	0
pore-forming	1	0
n-acetyl	1	0
diacid	1	0
glutr	1	0
n-acetylglucosamine-1-phosphate	1	0
guanine-1-	1	0
dnab	1	0
zinc-metallo	1	0
obge	1	0
anchored	1	0
recruitment	1	0
binds	1	0
-n-acetyltransferase	1	0
fad-binding	1	0
phospho-n-acetylmuramoyl-pentapeptide	1	0
alars	1	0
ferro-lyase	1	0
udp-3-o-	1	0
divisome	1	0
glurs	1	0
meso-diaminopimelate	1	0
deoxyuridinetriphosphatase	1	0
d-alanyl-d-alanine	1	0
fmn-binding	1	0
hexapeptide	1	0
carboxytransferase	1	0
transcriptional	1	0
dtmp	1	0
diphosphorylase	1	0
glycation	1	0
dual	1	0
ring	1	0
phosphoribosylpyrophosphate	1	0
3-hydroxymyristoyl	1	0
n-acetyltransferase	1	0
asparaginyl	1	0
kleisin-like	1	0
partner	1	0
ef-g	1	0
-glucosamine	1	0
if2-alpha	1	0
septal	1	0
udp-n-acetylmuramoyl-tripeptide	1	0
hydroxymethylbilane	1	0
triphosphate-binding	1	0
d-fructose-6-phosphate	1	0
-phosphopantothenoylcysteine	1	0
hydro-lyase	1	0
p-hydroxybenzoate	1	0
-pyrophosphoryl-undecaprenol	1	0
leader	1	0
repair	1	0
muke	1	0
fad-requiring	1	0
growth	1	0
n-acetylglucosaminyl	1	0
phosphatidylglycerol-prolipoprotein	1	0
hydroxylation	1	0
membrane-associated	1	0
bamabcde	1	0
pentapep	1	0
aldolase	0	31
primase	0	20
if-3	0	20
dehydratase	0	20
peptidyl-trna	0	19
carbonic	0	18
racemase	0	18
anhydrase	0	18
aminopeptidase	0	18
ribosome	0	18
formyltransferase	0	17
delta-aminolevulinic	0	17
release	0	16
3-deoxy-d-manno-octulosonic-acid	0	16
glutamate	0	16
recycling	0	15
arginyl-trna	0	13
histidyl-trna	0	12
fructose-bisphosphate	0	12
phosphatidate	0	12
aspartyl-trna	0	11
4-diphosphocytidyl-2-c-methyl-d-erythritol	0	11
ribonuclease	0	11
secf	0	11
o-phosphatidyltransferase	0	11
2-dehydro-3-deoxyphosphooctonate	0	11
rare	0	11
4-hydroxy-3-methylbut-2-enyl	0	10
udp-2	0	10
3-diacylglucosamine	0	10
mreb	0	10
uroporphyrinogen	0	10
mvin	0	9
mred	0	9
groel	0	9
cdp-diacylglycerol-serine	0	9
protoporphyrinogen	0	8
-subunit	0	8
nh3-dependent	0	8
trna-specific	0	8
lytb	0	8
adenosine	0	8
fructose	0	8
nucleotidyltransferase	0	7
cdp-diacylglycerol--glycerol-3-phosphate	0	7
enga	0	7
-hydroxymyristol	0	7
3-phosphatidyltransferase	0	7
d-3-hydroxydecanoyl-	0	6
cdp-diglyceride	0	6
phosphotidylglycerophosphate	0	6
dehydrase	0	6
carrier-protein	0	6
6-bisphosphate	0	6
nad-dependent	0	6
virulence	0	6
rf-1	0	5
yrdc	0	4
cpn60	0	4
ysxc	0	4
cytidine	0	4
sua5	0	4
arginine--trna	0	4
lptf	0	4
histidine--trna	0	4
aspartate--trna	0	4
phosphatidylglycerophosphate	0	3
8-phosphate	0	3
ghmp	0	2
-diphospho	0	2
hemd	0	2
cdp-alcohol	0	2
phosphatase	0	2
active	0	2
dahp	0	2
lptde	0	2
ywlc	0	2
phosphodiesterase	0	2
ribosome-releasing	0	2
triphosphate	0	2
zinc-binding	0	2
-2-c-methyl-d-erythritol	0	2
xaa-pro	0	2
osta	0	2
deoxycytidylate	0	2
3-deoxy-8-phosphooctulonate	0	2
nucleotidyl	0	2
grol	0	2
purn	0	2
tcp-1	0	2
adenylation	0	2
pcrf	0	2
determining	0	2
lipopolysaccharide-assembly	0	2
rpb1	0	2
3-methyladenine	0	2
glycosylase	0	2
liga	0	2
isopentenyl	0	2
bisphosphate	0	2
-cyclic	0	2
formyl	0	2
shape	0	2
rlpb	0	2
phospholipase	0	2
rimn	0	2
xanthosine	0	2
ycio	0	2
engb	0	2
kinases	0	2
nucleotidase	0	2
lptd	0	2
cdp-diacylglycerol--serine	0	2
class-ii	0	2
phosphatidyltransferase	0	2
kdotransferase	0	2
murj	0	2
hydantoin	0	2
tagatose	0	2
phosphoribosylglycinamide	0	2
mvin-like	0	2
multifunctional	0	2
3-deoxy-d-manno-octulosonic	0	2
calcineurin-like	0	2
folate-dependent	0	2
phosphoesterase	0	2
lps-assembly	0	2
large	0	1
protoporphyrin	0	1
thioester	0	1
5-aminolevulinate	0	1
fe2+	0	1
operon	0	1
maturation	0	1
n-formyltransferase	0	1
glnb	0	1
10-formyltetrahydrofolate	0	1
asprs	0	1
pyrophosphohydrolase	0	1
4fe-4s	0	1
uridylyltransferase	0	1
nad+	0	1
ftsj	0	1
threonine-dependent	0	1
l-methionyl-trna	0	1
repressor	0	1
adp-forming	0	1
cardiolipin	0	1
poly	0	1
3-deoxy-7-phosphoheptulonate	0	1
histidyl	0	1
yadf	0	1
actin-like	0	1
beta-barrel	0	1
hisrs	0	1
glutamine-dependent	0	1
kdops	0	1
head	0	1
3-deoxy-d-manno-octulosonate	0	1
argrs	0	1
4-diphosphocytidyl-2-c-methylerythritol	0	1
beta-hydroxydecanoyl	0	1
multicopy	0	1
fmet	0	1
SUM	9754	2311
