WORD	BeneficialLoss	Not
late	41	1
oxononanoate	41	0
glutathionylspermidine	41	0
f0f1	41	0
phosphoribosylglycinamide	41	0
carbamate	41	0
head	40	9
dismutase	40	4
hemolysin	40	4
glycerate	40	1
adenosyltransferase	40	0
pseudouridylate	40	0
glucokinase	40	0
desuccinylase	40	0
methyladenine	40	0
targeted	39	9
ysirk	39	9
phob	39	4
superoxide	39	4
inosine	39	1
tripeptide	39	1
translocating	39	0
oxidation	39	0
endodeoxyribonuclease	39	0
hydroxymethyltransferase	39	0
production	38	20
encoded	38	15
endoribonuclease	38	9
galactoside	38	8
flagellin	38	7
gulonate	38	6
pyrophosphorylase	38	6
deformylase	38	6
catabolite	38	5
motif	38	4
argininosuccinate	38	2
leucyl	38	1
amylase	38	1
dehydroquinate	38	0
adenylosuccinate	38	0
imidazole	38	0
element	37	64
gram	37	14
glucans	37	14
antimicrobial	37	6
nitric	37	3
tape	37	2
asparagine	37	2
measure	37	2
dihydrouridine	37	1
glyceraldehyde	37	0
carboxyvinyltransferase	37	0
aspartokinase	37	0
catalase	37	0
deoxyheptonate	37	0
tube	37	0
pyridoxamine	37	0
dihydroxyacetone	37	0
poly	36	11
urea	36	2
acetylglutamate	36	2
chloride	36	1
muconate	36	0
isochorismate	36	0
[nadph	36	0
dihydrolipoamide	36	0
nucleosidase	36	0
tellurite	35	9
lateral	35	5
sensory	35	4
phosphosugar	35	4
chaperonin	35	2
hexulose	35	1
phenylacetate	35	1
isochorismatase	35	1
polyphosphate	35	0
ribosyltransferase	35	0
glucan	35	0
dicitrate	35	0
chromosome	35	0
single	35	0
trap	34	25
cryptic	34	6
dnak	34	3
organic	34	2
sensitivity	34	2
altronate	34	2
reductoisomerase	34	1
dihydroneopterin	34	1
phoh	34	0
phosphosulfate	34	0
termination	34	0
releasing	34	0
enolase	34	0
fkbp	33	26
oxaloacetate	33	16
salmonella	33	8
resolvase	33	3
dnaa	33	3
groes	33	3
aminobenzoate	33	3
initiator	33	3
phenylacetic	33	2
interacting	33	1
processing	33	1
completion	33	1
urease	33	1
trimethylamine	33	0
trehalase	33	0
manganese	33	0
glycyl	33	0
holo	33	0
dtdp	32	25
biofilm	32	20
transpeptidase	32	10
repeats	32	9
pfkb	32	4
exchanger	32	2
sporulation	32	2
amine	32	2
dioic	32	1
methylated	32	0
methionyl	32	0
ectoine	32	0
hydroxyectoine	32	0
phor	32	0
mechanosensitive	31	29
general	31	15
invertase	31	14
alkyl	31	8
hydroperoxide	31	8
invasin	31	8
guanylyltransferase	31	6
antiterminator	31	5
isomerases	31	3
xerc	31	3
ketoacyl	31	1
solvent	31	1
deoxyribose	31	1
selenocysteine	31	0
cardiolipin	31	0
biopolymer	31	0
phosphatidylglycerophosphatase	31	0
ribonucleotide	31	0
recognition	31	0
acetylmuramate	31	0
t3ss	30	28
from	30	10
protoheme	30	6
sheath	30	5
center	30	3
homeostasis	30	3
decarboxylating	30	2
loop	30	2
dead	30	2
cterm	30	2
acetylmannosamine	30	1
carboxy	30	1
sensing	30	1
acetaldehyde	30	1
cystathionine	30	0
hydroxymyristoyl	30	0
octulosonate	30	0
fe3+	30	0
deoxychorismate	30	0
marr	29	9
fuculose	29	7
holin	29	5
arsenate	29	5
alkaline	29	4
hydrogen	29	3
sorf	29	3
selenium	29	3
stranded	29	2
mannosyl	29	2
integration	29	2
nucleic	29	1
middle	29	0
lexa	29	0
prephenate	29	0
rare	29	0
ketoglutarate	29	0
nicotinamide	29	0
stringent	29	0
phosphatidyltransferase	29	0
primase	29	0
mandelate	29	0
succinylbenzoate	29	0
isoleucine	28	8
soluble	28	6
glycolate	28	5
phase	28	3
eiibc	28	3
merops	28	2
deoxyribonuclease	28	2
fusion	28	2
metallo	28	1
proposed	28	1
hydroxyacid	28	1
phosphoadenosine	28	0
phenylpropionate	28	0
tetrathionate	28	0
glutaminase	28	0
ureidoglycolate	27	8
glycerophosphoryl	27	7
diester	27	7
xanthosine	27	7
galactarate	27	6
phosphomannomutase	27	5
oxopropionate	27	4
eiib	27	4
signaling	27	3
divalent	27	2
lysophospholipase	27	2
carbonic	27	1
ftsz	27	1
coupling	27	1
aliphatic	27	0
exoribonuclease	27	0
anhydrase	27	0
sulfonates	27	0
diphosphatase	27	0
tyrosyl	27	0
quinolinate	27	0
orotidine	27	0
phenylalanine	27	0
lactaldehyde	27	0
enterochelin	27	0
dethiobiotin	27	0
acetylmuramic	27	0
arylsulfatase	26	5
antigens	26	4
global	26	2
ftsh	26	1
viii	26	1
oligopeptidase	26	0
lactonizing	26	0
gated	26	0
seryl	26	0
thiazole	26	0
pentapeptide	26	0
crossover	26	0
nucleotidyltransferase	26	0
formyltetrahydrofolate	26	0
methylenetetrahydrofolate	26	0
gsia	26	0
insertion	25	54
curli	25	25
pili	25	9
number=	25	9
is66	25	6
twin	25	5
allantoin	25	5
stationary	25	3
structural	25	3
ompa	25	1
bond	25	0
replicative	25	0
particle	25	0
acriflavin	25	0
ligand	25	0
dihydroxybenzoate	25	0
adenosyl	25	0
naphthoate	25	0
succinylglutamate	25	0
glutaminyl	25	0
flhb	25	0
phosphoheptose	25	0
homocysteine	25	0
phosphoribosylformylglycinamidine	25	0
malic	25	0
luxr	24	22
reverse	24	15
thymidine	24	12
patch	24	8
lysyl	24	4
chromosomal	24	3
b556	24	2
trancriptional	24	2
flagella	24	1
methylcitrate	24	0
dihydrofolate	24	0
ferrochelatase	24	0
phosphomethylpyrimidine	24	0
flip	24	0
converting	24	0
flha	24	0
secy	24	0
deacylase	24	0
dihydro	24	0
constitutive	24	0
bioc	24	0
pyridoxine	24	0
feccd	24	0
proximal	24	0
haemolysin	23	14
osmotically	23	10
histone	23	7
lipase	23	5
omega	23	4
aspartyl	23	3
gntp	23	2
possibly	23	2
disulphide	23	2
maltoporin	23	2
carboligase	23	1
metallopeptidase	23	1
acetylneuraminate	23	1
symport	23	1
hydroxamate	23	1
proteases	23	1
dihydrolase	23	0
hydrophobic	23	0
tatd	23	0
demethylubiquinone	23	0
phosphatidylserine	23	0
paraquat	23	0
formamidopyrimidine	23	0
acriflavine	23	0
isoaspartyl	23	0
succinylarginine	23	0
acrb	23	0
thiouridine	23	0
inhibited	23	0
bacterioferritin	22	19
glucosyltransferase	22	12
diacetylchitobiose	22	12
deoxygluconate	22	8
hybrid	22	4
aida	22	4
incorporation	22	4
interaction	22	3
rpir	22	3
eama	22	3
dicluster	22	2
mutarotase	22	2
anion	22	2
rnfabcdge	22	1
carboxymethyl	22	1
deda	22	1
mutt	22	1
recf	22	1
hydroxymuconate	22	1
tryptophanyl	22	1
cystine	22	1
acetylmuramyl	22	1
melibiose	22	1
malonate	22	0
dmso	22	0
fixation	22	0
flis	22	0
guanylate	22	0
exopolyphosphatase	22	0
folylpolyglutamate	22	0
ferrienterobactin	22	0
aminomethyltransferase	22	0
flie	22	0
cytidylate	22	0
curlin	21	20
t6ss	21	12
linked	21	7
origin	21	7
duf1471	21	6
hydro	21	5
other	21	5
hypa	21	4
proteolytic	21	4
allose	21	4
asparaginyl	21	3
phosphoesterase	21	2
tetratricopeptide	21	1
pyrophosphohydrolases	21	1
galactokinase	21	0
ftsa	21	0
respiration	21	0
amphiphile	21	0
thioester	21	0
cyclodiphosphate	21	0
dimethylbenzimidazole	21	0
motb	21	0
hflc	21	0
hydrophobe	21	0
polyprenyl	21	0
hae1	21	0
ammonium	21	0
hydroxyacylglutathione	21	0
hflk	21	0
extrusion	21	0
capsule	20	7
rhodanese	20	6
nucleoid	20	5
sialic	20	4
phosphoglycerol	20	3
hydroxythreonine	20	3
stability	20	3
tmao	20	3
chitinase	20	3
phnf	20	2
active	20	2
hemin	20	2
recq	20	1
proenzyme	20	1
msba	20	0
queuine	20	0
hypb	20	0
hydroxyacyl	20	0
excision	20	0
hypc	20	0
lactoylglutathione	20	0
diamide	20	0
reduction	20	0
phosphoshikimate	20	0
aminodeoxychorismate	20	0
triphosphoribosyl	20	0
ribazole	20	0
malonyl	20	0
disaccharide	20	0
benzoate	20	0
hydroxybenzoic	20	0
synthases	20	0
imidazoleglycerol	20	0
macrolide	20	0
thiamin	20	0
translocator	19	6
fermentation	19	5
presentation	19	5
peroxiredoxin	19	3
nlpc	19	3
epimerases	19	3
tors	19	3
ketol	19	3
molecular	19	3
triphosphatase	19	3
porter	19	3
double	19	2
phosphopantetheine	19	1
quinol	19	1
flir	19	1
dnase	19	1
anhydro	19	1
isopentenyl	19	1
aminolevulinic	19	0
hydroxyethylthiazole	19	0
ketobutyrate	19	0
porphobilinogen	19	0
deoxygalactonate	19	0
dihydroxyhept	19	0
protoporphyrinogen	19	0
flgj	19	0
sece	19	0
flin	19	0
nikc	19	0
chemoreceptor	19	0
pirin	19	0
triosephosphate	19	0
secb	19	0
aminomutase	19	0
plastoquinone	19	0
prolipoprotein	19	0
butanone	19	0
camp	19	0
phosphoglycolate	19	0
flig	19	0
diacid	19	0
bisphosphoglycerate	19	0
seca	19	0
ftsl	19	0
phosphopentomutase	19	0
topological	19	0
crotonobetainyl	19	0
septation	19	0
diacylglyceryl	19	0
fggy	19	0
ribityllumazine	19	0
mononucleotide	19	0
similarity	18	27
calcium	18	10
entericidin	18	7
sucrose	18	7
bola	18	5
transferases	18	4
lysis	18	4
microcin	18	4
hypoxanthine	18	4
fimd	18	4
flim	18	3
kdgr	18	3
hydroxyphenylpropionic	18	3
morphogenesis	18	2
acetohydroxy	18	2
glucoside	18	2
iiabc	18	1
metalloprotease	18	1
exbb	18	1
probably	18	1
required	18	1
glucanotransferase	18	1
asnc	18	1
ecotin	18	1
dmsa	18	0
alkanesulfonate	18	0
nicotinamidase	18	0
pentenoate	18	0
napc	18	0
methylbut	18	0
flio	18	0
reca	18	0
acetylmuramoylalanyl	18	0
rossmann	18	0
allophanate	18	0
metallophore	18	0
octaprenyltransferase	18	0
multifunctional	18	0
ribulokinase	18	0
transacylase	18	0
flge	18	0
dihydroorotase	18	0
cyclopropane	18	0
chelatase	18	0
fliq	18	0
phosphogluconolactonase	18	0
regulating	18	0
tetraacyldisaccharide	18	0
helicases	18	0
various	18	0
cyclo	18	0
exbd	18	0
acetylenolpyruvoylglucosamine	18	0
residue	18	0
octulosonic	18	0
blastx	17	27
subject	17	27
b561	17	9
fimbria	17	8
stimulation	17	5
iclr	17	5
genes	17	5
papd	17	5
beti	17	3
glycoside	17	3
gaba	17	3
fructoselysine	17	2
factors	17	2
killing	17	2
nikb	17	2
prokaryotic	17	2
terc	17	1
toxic	17	1
rhamnulose	17	1
module	17	1
yccs	17	1
acylphosphatase	17	1
storage	17	1
desulfhydrase	17	1
cycle	17	1
trmh	17	0
phosphogalactonate	17	0
rpos	17	0
this	17	0
nikd	17	0
flij	17	0
monofunctional	17	0
apolipoprotein	17	0
ftsx	17	0
fucosyltransferase	17	0
relay	17	0
dehydropantoate	17	0
tetrahydropyridine	17	0
cytosol	17	0
erythrose	17	0
dihydropteroate	17	0
artm	17	0
ftsw	17	0
flgb	17	0
cyanate	17	0
prop	17	0
sulphoxide	17	0
orotate	17	0
pnuc	17	0
methylesterase	17	0
glycero	17	0
[protein	17	0
deoxycytidine	17	0
flavorubredoxin	17	0
recr	17	0
lepa	17	0
flgc	17	0
c552	17	0
tolc	17	0
recycling	17	0
agmatinase	17	0
hydrolyzing	17	0
deoxyribodipyrimidine	17	0
rhamnulokinase	17	0
ferritin	16	27
fimbriae	16	13
remnant	16	6
mind	16	5
similar	16	5
thymidylyltransferase	16	4
diaminopropionate	16	4
hexuronide	16	3
endo	16	3
maintenance	16	3
mhpt	16	3
lyse	16	3
pentoside	16	3
packaging	16	2
glyoxalase	16	2
moeb	16	2
daunorubicin	16	2
contain	16	1
nucleosyl	16	1
auxiliary	16	1
oxidoreductases	16	1
band	16	1
capsular	16	1
tolq	16	1
radc	16	1
deah	16	1
implicated	16	1
excisionase	16	1
tetraphosphatase	16	1
deoxygluconokinase	16	1
ferrioxamine	16	0
ftsq	16	0
flgg	16	0
ehuc	16	0
conjugative	16	0
acrf	16	0
cora	16	0
phosphatidate	16	0
ftsk	16	0
methylmalonyl	16	0
acrd	16	0
flippase	16	0
flagellum	16	0
[nad	16	0
greb	16	0
cfla	16	0
ding	16	0
theta	16	0
diol	16	0
pantoate	16	0
intergenic	16	0
mode	16	0
dihydrolipoyllysine	16	0
tolr	16	0
amidophosphoribosyltransferase	16	0
homologs	16	0
flit	16	0
methylaminomethyl	16	0
branching	16	0
nlpd	16	0
methyltetrahydropteroyltriglutamate	16	0
succinylornithine	16	0
phosphohistidine	16	0
catabolic	15	7
trigger	15	6
right	15	6
methylglyoxal	15	5
pullulanase	15	5
enterobacterial	15	4
yeeu	15	4
hslvu	15	3
compounds	15	3
homoprotocatechuate	15	3
eiicba	15	2
also	15	2
anchored	15	2
bcct	15	2
xylosidase	15	2
enga	15	2
gluconokinase	15	2
oxoacid	15	1
opacity	15	1
iiab	15	1
lamb	15	1
golgi	15	1
carboxysome	15	1
carboxykinase	15	1
debranching	15	1
snare	15	1
cspd	15	0
nupc	15	0
methoxyphenol	15	0
yrdc	15	0
ribd	15	0
isoleucyl	15	0
dahp	15	0
ftse	15	0
hscb	15	0
marc	15	0
phosphoribosylaminoimidazolecarboxamide	15	0
spfh	15	0
multienzyme	15	0
dppb	15	0
folate	15	0
glutamyltranspeptidase	15	0
methylthiotransferase	15	0
monophosphatase	15	0
[decarboxylating	15	0
oxobutanoate	15	0
tola	15	0
isoaspartate	15	0
oxoguanine	15	0
patatin	15	0
antidote	15	0
cysteinyl	15	0
bicyclomycin	15	0
ipmi	15	0
flga	15	0
polymyxin	15	0
oligoribonuclease	15	0
glucuronate	15	0
archaeal	15	0
undecaprenol	15	0
dimethyladenosine	15	0
roda	15	0
valyl	15	0
glycoprotease	15	0
gluconic	15	0
ybak	15	0
arginyl	15	0
lactone	15	0
sulfotransferase	14	6
aahs	14	5
caudovirales	14	5
positive	14	4
polyamine	14	4
repetitive	14	4
aminoglycoside	14	3
sytem	14	3
antirestriction	14	3
phosphoethanolamine	14	2
uronate	14	2
dimethylsulfoxide	14	1
dha2	14	1
cydd	14	1
acyltransferases	14	1
hsca	14	1
pap2	14	1
mutator	14	1
cholera	14	1
thif	14	0
pyrazinamidase	14	0
rubredoxin	14	0
survival	14	0
eiid	14	0
propeller	14	0
arsenical	14	0
pentose	14	0
nucleotidohydrolase	14	0
fused	14	0
maleylacetoacetate	14	0
lactonase	14	0
photolyase	14	0
xylulokinase	14	0
indole	14	0
mg2+	14	0
hypd	14	0
narl	14	0
luciferase	14	0
section	14	0
scaffold	14	0
flhe	14	0
clpx	14	0
lysidine	14	0
hk97	14	0
aminobutyraldehyde	14	0
succinyldiaminopimelate	14	0
rsec	14	0
<orfname>	14	0
curved	14	0
deoxyuridine	14	0
erythronate	14	0
glcd	14	0
capping	14	0
sufb	14	0
hydroxyarylamine	14	0
ethylmaleimide	14	0
phosphoglucosamine	14	0
miab	14	0
thii	14	0
succinocarboxamide	14	0
phosphopantetheinyl	14	0
cysw	14	0
hrpa	14	0
conductance	13	20
galactosyltransferase	13	17
polar	13	7
flhd	13	6
hexapeptide	13	6
formyl	13	5
tehb	13	5
b562	13	5
utilisation	13	4
mota	13	4
lambdoid	13	4
merr	13	4
mate	13	3
light	13	3
puative	13	3
bacteriocin	13	3
atypical	13	3
adducin	13	2
diffusion	13	2
lysm	13	2
idonate	13	2
adaptor	13	2
pobr	13	2
nucleotidyl	13	2
papc	13	2
branch	13	1
cina	13	1
acetoacetyl	13	1
pfpi	13	1
eiiab	13	1
deazaguanine	13	1
pcau	13	1
pcar	13	1
ketoadipate	13	1
pilb	13	1
ketoisovalerate	13	1
pdxa	13	1
promoter	13	1
nodt	13	1
lipo	13	1
lipocalin	13	1
siroheme	13	0
histidyl	13	0
naph	13	0
diglyceride	13	0
redox	13	0
gltk	13	0
ompr	13	0
phosphohydrolase	13	0
operons	13	0
rspa	13	0
mnth	13	0
glcnac	13	0
narx	13	0
nike	13	0
quorum	13	0
alkb	13	0
geranylgeranyl	13	0
kdpg	13	0
nrdi	13	0
dsdx	13	0
chea	13	0
substance	13	0
phop	13	0
multisubunit	13	0
palmitoleoyl	13	0
strand	13	0
